date,year,feature,horizon,label,family,expected_sign,spearman_ic,pearson_ic,candidate_rows,valid_feature_rows,valid_label_rows,valid_paired_rows,paired_coverage
2024-02-01,2024,microprice_deviation_bps,1s,ret_fwd_1s,state,positive,0.438118617171,0.0608350295126,863980,863980,863970,863970,0.999988425658
2024-02-01,2024,ofi_1s,1s,ret_fwd_1s,matched_flow,positive,0.342260057742,0.23519530608,863980,863980,863970,863970,0.999988425658
2024-02-01,2024,qi_1,1s,ret_fwd_1s,state,positive,0.438329183756,0.275242640333,863980,863980,863970,863970,0.999988425658
2024-02-01,2024,trade_imbalance_1s,1s,ret_fwd_1s,matched_flow,positive,0.188115928469,0.14263188147,863980,824088,863970,824078,0.953816060557
2024-02-01,2024,di_10,30s,ret_fwd_30s,state,positive,0.185204127114,0.151961117966,863980,863980,863680,863680,0.99965276974
2024-02-01,2024,di_5,30s,ret_fwd_30s,state,positive,0.18721499999,0.153653712629,863980,863980,863680,863680,0.99965276974
2024-02-01,2024,microprice_deviation_bps,30s,ret_fwd_30s,state,positive,0.187343600701,0.0168227822719,863980,863980,863680,863680,0.99965276974
2024-02-01,2024,ofi_30s,30s,ret_fwd_30s,matched_flow,positive,0.0464357612743,0.0264809869711,863980,863980,863680,863680,0.99965276974
2024-02-01,2024,qi_1,30s,ret_fwd_30s,state,positive,0.187665335997,0.153510297287,863980,863980,863680,863680,0.99965276974
2024-02-01,2024,trade_imbalance_30s,30s,ret_fwd_30s,matched_flow,positive,0.0309911702115,0.0209908422466,863980,863980,863680,863680,0.99965276974
2024-02-01,2024,di_10,500ms,ret_fwd_500ms,state,positive,0.390666144205,0.250962700764,863980,863980,863975,863975,0.999994212829
2024-02-01,2024,di_5,500ms,ret_fwd_500ms,state,positive,0.395390911858,0.251240167991,863980,863980,863975,863975,0.999994212829
2024-02-01,2024,microprice_deviation_bps,500ms,ret_fwd_500ms,state,positive,0.396174882109,0.0819790918641,863980,863980,863975,863975,0.999994212829
2024-02-01,2024,ofi_500ms,500ms,ret_fwd_500ms,matched_flow,positive,0.302325370541,0.213838768964,863980,863980,863975,863975,0.999994212829
2024-02-01,2024,qi_1,500ms,ret_fwd_500ms,state,positive,0.395887521667,0.2449552864,863980,863980,863975,863975,0.999994212829
2024-02-01,2024,trade_imbalance_500ms,500ms,ret_fwd_500ms,matched_flow,positive,0.165259872524,0.14051251798,863980,697760,863975,697756,0.807606657562
2024-02-01,2024,di_10,5s,ret_fwd_5s,state,positive,0.40510877673,0.27753582551,863980,863980,863930,863930,0.99994212829
2024-02-01,2024,di_5,5s,ret_fwd_5s,state,positive,0.408790813052,0.279203434446,863980,863980,863930,863930,0.99994212829
2024-02-01,2024,microprice_deviation_bps,5s,ret_fwd_5s,state,positive,0.409469346192,0.0347839894677,863980,863980,863930,863930,0.99994212829
2024-02-01,2024,ofi_5s,5s,ret_fwd_5s,matched_flow,positive,0.279308758722,0.17598332538,863980,863980,863930,863930,0.99994212829
2024-02-01,2024,qi_1,5s,ret_fwd_5s,state,positive,0.409933002366,0.276650222857,863980,863980,863930,863930,0.99994212829
2024-02-01,2024,trade_imbalance_5s,5s,ret_fwd_5s,matched_flow,positive,0.182983017465,0.116542668465,863980,863977,863930,863927,0.999938655987
2024-03-01,2024,di_10,100ms,ret_fwd_100ms,state,positive,0.314352390468,0.205889343138,863986,863936,863933,863933,0.999938656413
2024-03-01,2024,di_5,100ms,ret_fwd_100ms,state,positive,0.3232046603,0.209633329997,863986,863936,863933,863933,0.999938656413
2024-03-01,2024,microprice_deviation_bps,100ms,ret_fwd_100ms,state,positive,0.331348894586,0.10597120347,863986,863936,863933,863933,0.999938656413
2024-03-01,2024,ofi_100ms,100ms,ret_fwd_100ms,matched_flow,positive,0.274352205805,0.247482601211,863986,863986,863933,863933,0.999938656413
2024-03-01,2024,qi_1,100ms,ret_fwd_100ms,state,positive,0.329370510789,0.207164583651,863986,863936,863933,863933,0.999938656413
2024-03-01,2024,trade_imbalance_100ms,100ms,ret_fwd_100ms,matched_flow,positive,0.242528160928,0.211141814217,863986,390424,863933,390380,0.451836025121
2024-03-01,2024,di_10,1s,ret_fwd_1s,state,positive,0.438892501449,0.298630843419,863986,863936,863906,863906,0.999907405907
2024-03-01,2024,di_5,1s,ret_fwd_1s,state,positive,0.449948440189,0.304146704547,863986,863936,863906,863906,0.999907405907
2024-03-01,2024,microprice_deviation_bps,1s,ret_fwd_1s,state,positive,0.454649149514,0.0472929311731,863986,863936,863906,863906,0.999907405907
2024-03-01,2024,ofi_1s,1s,ret_fwd_1s,matched_flow,positive,0.358396170327,0.227253639216,863986,863986,863906,863906,0.999907405907
2024-03-01,2024,qi_1,1s,ret_fwd_1s,state,positive,0.454687445949,0.302919063849,863986,863936,863906,863906,0.999907405907
2024-03-01,2024,trade_imbalance_1s,1s,ret_fwd_1s,matched_flow,positive,0.201838310882,0.1477472682,863986,854647,863906,854567,0.98909820298
