date,feature,horizon,bucket,p_up,p_flat,p_down,count,p_up_minus_down
2024-01-01,trade_imbalance_100ms,100ms,2,0.000635930047695,0.990001766472,0.00936230347995,28305,-0.00872637343226
2024-01-01,trade_imbalance_100ms,100ms,3,0.00091859807801,0.985161107971,0.0139202939514,28304,-0.0130016958734
2024-01-01,trade_imbalance_100ms,100ms,4,0.00215509627274,0.974456809751,0.0233880939763,28305,-0.0212329977036
2024-01-01,trade_imbalance_100ms,100ms,5,0.00335653464297,0.96124085786,0.0354026074974,28303,-0.0320460728545
2024-01-01,trade_imbalance_100ms,100ms,6,0.0343755520226,0.959795089207,0.00582935877054,28305,0.0285461932521
2024-01-01,trade_imbalance_100ms,100ms,7,0.0188659247483,0.98042748631,0.000706588941883,28305,0.0181593358064
2024-01-01,trade_imbalance_100ms,100ms,8,0.00971594120972,0.990001413228,0.000282645562465,28304,0.00943329564726
2024-01-01,trade_imbalance_100ms,100ms,9,0.017276099629,0.981805334747,0.000918565624448,28305,0.0163575340046
2024-01-01,trade_imbalance_100ms,100ms,10,0.0275579423403,0.971028829847,0.00141322781232,28304,0.026144714528
2024-01-01,di_10,1s,1,0.00611118184238,0.80587738284,0.188011435318,86399,-0.181900253475
2024-01-01,di_10,1s,2,0.00810194562437,0.906191043878,0.0857070104978,86399,-0.0776050648734
2024-01-01,di_10,1s,3,0.0101044005648,0.938505520961,0.051390078474,86398,-0.0412856779092
2024-01-01,di_10,1s,4,0.0129052419588,0.953946226229,0.0331485318117,86399,-0.0202432898529
2024-01-01,di_10,1s,5,0.0190745156138,0.955855459617,0.0250700247691,86398,-0.0059955091553
2024-01-01,di_10,1s,6,0.0282651974628,0.956629936571,0.015104865966,86396,0.0131603314968
2024-01-01,di_10,1s,7,0.0362996573757,0.955366237615,0.00833410500972,86392,0.027965552366
2024-01-01,di_10,1s,8,0.051853052154,0.941375957777,0.00677099006921,86398,0.0450820620848
2024-01-01,di_10,1s,9,0.0852556163844,0.908644775981,0.00609960763435,86399,0.0791560087501
2024-01-01,di_10,1s,10,0.180941688465,0.813884580662,0.0051737308734,86398,0.175767957592
2024-01-01,di_5,1s,1,0.00608803342631,0.803967638514,0.189944328059,86399,-0.183856294633
2024-01-01,di_5,1s,2,0.0078473130476,0.907209574185,0.0849431127675,86399,-0.0770957997199
2024-01-01,di_5,1s,3,0.0102201439848,0.938690710433,0.0510891455821,86398,-0.0408690015973
2024-01-01,di_5,1s,4,0.0127200546303,0.954397620343,0.0328823250269,86399,-0.0201622703966
2024-01-01,di_5,1s,5,0.0190745156138,0.956121669483,0.0248038149031,86398,-0.00572929928934
2024-01-01,di_5,1s,6,0.0271077364693,0.957810546785,0.0150817167461,86396,0.0120260197231
2024-01-01,di_5,1s,7,0.0355125474581,0.956732104825,0.00775534771738,86392,0.0277571997407
2024-01-01,di_5,1s,8,0.051760457418,0.941433829487,0.00680571309521,86398,0.0449547443228
2024-01-01,di_5,1s,9,0.0852556163844,0.907765136171,0.00697924744499,86399,0.0782763689395
2024-01-01,di_5,1s,10,0.183326002917,0.812148429362,0.00452556772148,86398,0.178800435195
2024-01-01,microprice_deviation_bps,1s,1,0.00791675829581,0.805067188278,0.187016053427,86399,-0.179099295131
2024-01-01,microprice_deviation_bps,1s,2,0.00774314517529,0.903737311774,0.0885195430503,86399,-0.080776397875
2024-01-01,microprice_deviation_bps,1s,3,0.00981504201486,0.941075024885,0.0491099331003,86398,-0.0392948910854
2024-01-01,microprice_deviation_bps,1s,4,0.0122686605169,0.955057350201,0.0326739892823,86399,-0.0204053287654
2024-01-01,microprice_deviation_bps,1s,5,0.0182758860159,0.955971203037,0.025752910947,86398,-0.00747702493113
2024-01-01,microprice_deviation_bps,1s,6,0.027165609519,0.958910134728,0.0139242557526,86396,0.0132413537664
2024-01-01,microprice_deviation_bps,1s,7,0.0368089637929,0.954903231781,0.00828780442634,86392,0.0285211593666
2024-01-01,microprice_deviation_bps,1s,8,0.0510312738721,0.942267182111,0.00670154401722,86398,0.0443297298549
2024-01-01,microprice_deviation_bps,1s,9,0.0813551082767,0.91142258591,0.00722230581372,86399,0.074132802463
2024-01-01,microprice_deviation_bps,1s,10,0.18653209565,0.807865922822,0.00560198152735,86398,0.180930114123
2024-01-01,ofi_1s,1s,1,0.0147571152444,0.823585921133,0.161656963622,86399,-0.146899848378
2024-01-01,ofi_1s,1s,2,0.0183226075281,0.912310755128,0.0693666373443,86396,-0.0510440298162
2024-01-01,ofi_1s,1s,3,0.0192837465565,0.938722596477,0.0419936569669,86394,-0.0227099104104
2024-01-01,ofi_1s,1s,4,0.023021899162,0.942624658549,0.034353442289,86396,-0.011331543127
2024-01-01,ofi_1s,1s,5,0.0184263524619,0.957105488553,0.0244681589852,86398,-0.0060418065233
2024-01-01,ofi_1s,1s,6,0.0291091332076,0.951862868783,0.0190279980092,86399,0.0100811351983
2024-01-01,ofi_1s,1s,7,0.0365513489739,0.940439125453,0.0230095255732,86399,0.0135418234007
2024-01-01,ofi_1s,1s,8,0.0423852403991,0.938887474247,0.0187272853538,86398,0.0236579550453
2024-01-01,ofi_1s,1s,9,0.0743990092478,0.908066065579,0.0175349251727,86399,0.056864084075
2024-01-01,ofi_1s,1s,10,0.162654228107,0.822669506239,0.0146762656543,86398,0.147977962453
2024-01-01,qi_1,1s,1,0.00638896283522,0.806004699128,0.187606338036,86399,-0.181217375201
2024-01-01,qi_1,1s,2,0.0078473130476,0.905311404067,0.0868412828852,86399,-0.0789939698376
2024-01-01,qi_1,1s,3,0.0102085696428,0.939871293317,0.0499201370402,86398,-0.0397115673974
2024-01-01,qi_1,1s,4,0.0128357967106,0.954767995,0.0323962082894,86399,-0.0195604115788
2024-01-01,qi_1,1s,5,0.0187967314058,0.954836917521,0.0263663510729,86398,-0.00756961966712
2024-01-01,qi_1,1s,6,0.0277327654058,0.957741099125,0.0145261354692,86396,0.0132066299366
2024-01-01,qi_1,1s,7,0.0372929615612,0.954570181835,0.00813685660382,86397,0.0291561049573
2024-01-01,qi_1,1s,8,0.0511152523931,0.942148090702,0.00673665690507,86393,0.0443785954881
2024-01-01,qi_1,1s,9,0.0802092616813,0.9121286126,0.00766212571905,86399,0.0725471359622
2024-01-01,qi_1,1s,10,0.186485798282,0.80889603926,0.00461816245746,86398,0.181867635825
2024-01-01,trade_imbalance_1s,1s,1,0.0140979164378,0.947575280433,0.0383268031296,81927,-0.0242288866918
2024-01-01,trade_imbalance_1s,1s,2,0.0202377755535,0.910443571028,0.0693186534189,81926,-0.0490808778654
2024-01-01,trade_imbalance_1s,1s,3,0.0259014232356,0.886702634084,0.08739594268,81926,-0.0614945194444
2024-01-01,trade_imbalance_1s,1s,4,0.0345795647345,0.903011217303,0.0624092179623,81927,-0.0278296532279
2024-01-01,trade_imbalance_1s,1s,5,0.0414398359495,0.908429558382,0.0501306056685,81926,-0.00869076971901
2024-01-01,trade_imbalance_1s,1s,6,0.051595342138,0.910760930596,0.0376437272661,81926,0.013951614872
2024-01-01,trade_imbalance_1s,1s,7,0.0625434838332,0.905232707166,0.0322238090007,81927,0.0303196748325
2024-01-01,trade_imbalance_1s,1s,8,0.0756103515625,0.897290039063,0.027099609375,81920,0.0485107421875
2024-01-01,trade_imbalance_1s,1s,9,0.0862527770318,0.896291594443,0.0174556285247,81922,0.0687971485071
2024-01-01,trade_imbalance_1s,1s,10,0.0408905597735,0.94344896614,0.0156604740864,81926,0.0252300856871
2024-01-01,di_10,30s,1,0.250955060082,0.190838369105,0.558206570813,86382,-0.307251510731
2024-01-01,di_10,30s,2,0.277386120276,0.220825374776,0.501788504949,86385,-0.224402384673
2024-01-01,di_10,30s,3,0.300325295486,0.254471365894,0.44520333862,86383,-0.144878043133
2024-01-01,di_10,30s,4,0.297634204495,0.317403180629,0.384962614875,86398,-0.0873284103799
2024-01-01,di_10,30s,5,0.308023519607,0.33089494884,0.361081531552,86396,-0.053058011945
2024-01-01,di_10,30s,6,0.355418408346,0.349258362956,0.295323228697,86363,0.0600951796487
2024-01-01,di_10,30s,7,0.397706873589,0.348126701025,0.254166425387,86345,0.143540448202
2024-01-01,di_10,30s,8,0.441710474514,0.31165327343,0.246636252055,86362,0.195074222459
2024-01-01,di_10,30s,9,0.501141089654,0.258210632407,0.240648277939,86321,0.260492811714
2024-01-01,di_10,30s,10,0.577329735614,0.204027747218,0.218642517168,86351,0.358687218446
2024-01-01,di_5,30s,1,0.250355964577,0.186016090756,0.563627944666,86385,-0.313271980089
2024-01-01,di_5,30s,2,0.281230826223,0.221194475637,0.49757469814,86381,-0.216343871916
2024-01-01,di_5,30s,3,0.292881701261,0.259252399199,0.44786589954,86383,-0.15498419828
2024-01-01,di_5,30s,4,0.296646951932,0.320871769349,0.382481278719,86399,-0.0858343267862
2024-01-01,di_5,30s,5,0.312209914696,0.32855307476,0.359237010544,86397,-0.0470270958482
2024-01-01,di_5,30s,6,0.363495316498,0.335498512163,0.301006171339,86367,0.0624891451596
2024-01-01,di_5,30s,7,0.389352854644,0.359375904926,0.251271240429,86333,0.138081614215
2024-01-01,di_5,30s,8,0.436732897967,0.313718679079,0.249548422954,86364,0.187184475013
2024-01-01,di_5,30s,9,0.503903806501,0.258079836897,0.238016356602,86326,0.265887449899
