feature,horizon,label,family,expected_sign,valid_days,mean_spearman_ic,median_spearman_ic,std_spearman_ic,min_spearman_ic,max_spearman_ic,positive_days,negative_days,zero_days,sign_consistency,t_stat,raw_p_value,sign_test_p_value,mean_pearson_ic,median_pearson_ic,mean_paired_coverage,min_paired_coverage,total_paired_rows,fdr_q_value
qi_1,5s,ret_fwd_5s,state,positive,24,0.40293871082,0.406394621816,0.0630384788911,0.252437074343,0.516344798112,24,0,0,1,31.3140245921,2.30709861353e-20,1.19209289551e-07,0.278245505781,0.287459075917,0.999922452451,0.999828700928,20734049,1.08824903681e-19
di_5,5s,ret_fwd_5s,state,positive,24,0.401695880068,0.40548525217,0.0627306028329,0.251498121359,0.514588399147,24,0,0,1,31.3706514367,2.21521364986e-20,1.19209289551e-07,0.278339442497,0.287890909473,0.999922452451,0.999828700928,20734049,1.08824903681e-19
di_10,5s,ret_fwd_5s,state,positive,24,0.399241649883,0.405461625931,0.0631331626226,0.247518344396,0.512888089787,24,0,0,1,30.9801785831,2.93595855076e-20,1.19209289551e-07,0.277683112114,0.287953203099,0.999922452451,0.999828700928,20734049,1.10098445653e-19
microprice_deviation_bps,5s,ret_fwd_5s,state,positive,24,0.402580875704,0.406082087738,0.0632515488586,0.251184430257,0.516718878858,24,0,0,1,31.1808246113,2.53924775256e-20,1.19209289551e-07,0.0285015501589,0.0274050312655,0.999922452451,0.999828700928,20734049,1.08824903681e-19
ofi_5s,5s,ret_fwd_5s,matched_flow,positive,24,0.26661066572,0.272238637353,0.0647316764741,0.138819856047,0.372696387696,24,0,0,1,20.1774502552,3.9883473522e-16,1.19209289551e-07,0.166984852185,0.171526473689,0.999922452451,0.999828700928,20734049,6.647245587e-16
trade_imbalance_5s,5s,ret_fwd_5s,matched_flow,positive,24,0.183447206427,0.183472359574,0.046794499537,0.091368954977,0.28448787412,24,0,0,1,19.205336308,1.16807672189e-15,1.19209289551e-07,0.123106108675,0.122854253299,0.999879772557,0.999635413291,20733164,1.52357833289e-15
qi_1,30s,ret_fwd_30s,state,positive,24,0.220034587651,0.210320415209,0.0762940033708,0.122788156283,0.443878295386,24,0,0,1,14.1288290481,7.95888718536e-13,1.19209289551e-07,0.177125758851,0.161458680541,0.999633095813,0.999539344388,20728049,9.55066462243e-13
di_5,30s,ret_fwd_30s,state,positive,24,0.219618800499,0.209454531402,0.0765313665109,0.121252866445,0.444508000089,24,0,0,1,14.0583926218,8.82670724074e-13,1.19209289551e-07,0.177041716093,0.161808084209,0.999633095813,0.999539344388,20728049,9.69169131035e-13
di_10,30s,ret_fwd_30s,state,positive,24,0.218907897227,0.208004397796,0.0763739757384,0.120092614532,0.439615548373,24,0,0,1,14.0417634067,9.04557855633e-13,1.19209289551e-07,0.17679007519,0.161036135468,0.999633095813,0.999539344388,20728049,9.69169131035e-13
microprice_deviation_bps,30s,ret_fwd_30s,state,positive,24,0.219759117169,0.209102590953,0.0763636480151,0.122076166842,0.44373863051,24,0,0,1,14.0982710329,8.32395446804e-13,1.19209289551e-07,0.016492877315,0.0121887901104,0.999633095813,0.999539344388,20728049,9.60456284774e-13
ofi_30s,30s,ret_fwd_30s,matched_flow,positive,24,0.0931441063496,0.0795980707603,0.063622846683,0.0195743606403,0.316332821395,24,0,0,1,7.172125895,2.65018314128e-07,1.19209289551e-07,0.068055826793,0.0656339018512,0.999633095813,0.999539344388,20728049,2.74156876684e-07
trade_imbalance_30s,30s,ret_fwd_30s,matched_flow,positive,24,0.0666992839533,0.0593221092921,0.04750486161,0.000589733994173,0.214614005587,24,0,0,1,6.87842070716,5.16738136235e-07,1.19209289551e-07,0.0540846976459,0.0531937826595,0.999633095813,0.999539344388,20728049,5.16738136235e-07
