date,feature,feature_group,bucket,p_up,p_down,count,p_up_minus_down,p_flat
2024-02-01,qi_1,primary,1,0.132404056756,0.867595943244,84008,-0.735191886487,
2024-02-01,qi_1,primary,2,0.25517452917,0.74482547083,81505,-0.48965094166,
2024-02-01,qi_1,primary,3,0.333616606471,0.666383393529,80017,-0.332766787058,
2024-02-01,qi_1,primary,4,0.40168777439,0.59831222561,79039,-0.19662445122,
2024-02-01,qi_1,primary,5,0.473190281788,0.526809718212,80344,-0.0536194364234,
2024-02-01,qi_1,primary,6,0.524270745544,0.475729254456,79499,0.0485414910879,
2024-02-01,qi_1,primary,7,0.594273051401,0.405726948599,80776,0.188546102803,
2024-02-01,qi_1,primary,8,0.657337892416,0.342662107584,80718,0.314675784831,
2024-02-01,qi_1,primary,9,0.749561871147,0.250438128853,81597,0.499123742294,
2024-02-01,qi_1,primary,10,0.875738514973,0.124261485027,83783,0.751477029946,
2024-02-01,di_10,secondary,1,0.143353595185,0.856646404815,83737,-0.71329280963,
2024-02-01,di_10,secondary,2,0.258864857587,0.741135142413,81699,-0.482270284826,
2024-02-01,di_10,secondary,3,0.328282765248,0.671717234752,80123,-0.343434469503,
2024-02-01,di_10,secondary,4,0.400760475423,0.599239524577,79424,-0.198479049154,
2024-02-01,di_10,secondary,5,0.466346633416,0.533653366584,80200,-0.0673067331671,
2024-02-01,di_10,secondary,6,0.5316898758,0.4683101242,79710,0.0633797515995,
2024-02-01,di_10,secondary,7,0.598713384548,0.401286615452,80055,0.197426769096,
2024-02-01,di_10,secondary,8,0.662052026348,0.337947973652,80613,0.324104052696,
2024-02-01,di_10,secondary,9,0.739909767102,0.260090232898,82010,0.479819534203,
2024-02-01,di_10,secondary,10,0.867347548229,0.132652451771,83715,0.734695096458,
2024-02-01,di_5,secondary,1,0.137284876569,0.862715123431,83731,-0.725430246862,
2024-02-01,di_5,secondary,2,0.258738522856,0.741261477144,81793,-0.482522954287,
2024-02-01,di_5,secondary,3,0.328336768472,0.671663231528,80055,-0.343326463057,
2024-02-01,di_5,secondary,4,0.40344165846,0.59655834154,79206,-0.19311668308,
2024-02-01,di_5,secondary,5,0.467988943672,0.532011056328,80316,-0.064022112655,
2024-02-01,di_5,secondary,6,0.527528005224,0.472471994776,79628,0.0550560104486,
2024-02-01,di_5,secondary,7,0.601080420191,0.398919579809,80154,0.202160840382,
2024-02-01,di_5,secondary,8,0.649254008084,0.350745991916,80899,0.298508016168,
2024-02-01,di_5,secondary,9,0.750198934933,0.249801065067,81685,0.500397869866,
2024-02-01,di_5,secondary,10,0.873119459788,0.126880540212,83819,0.746238919577,
2024-02-01,ofi_100ms,secondary,1,0.300806114528,0.699193885472,83735,-0.398387770944,
2024-02-01,ofi_100ms,secondary,2,0.436567436653,0.563432563347,82166,-0.126865126695,
2024-02-01,ofi_100ms,secondary,3,0.463854899972,0.536145100028,80827,-0.0722902000569,
2024-02-01,ofi_100ms,secondary,4,0.487525180205,0.512474819795,82406,-0.0249496395894,
2024-02-01,ofi_100ms,secondary,5,0.542734985458,0.457265014542,74611,0.0854699709158,
2024-02-01,ofi_100ms,secondary,6,0.50076606628,0.49923393372,82891,0.00153213255963,
2024-02-01,ofi_100ms,secondary,7,0.502948180788,0.497051819212,78523,0.00589636157559,
2024-02-01,ofi_100ms,secondary,8,0.542600952475,0.457399047525,80632,0.0852019049509,
2024-02-01,ofi_100ms,secondary,9,0.559619935111,0.440380064889,81986,0.119239870222,
2024-02-01,ofi_100ms,secondary,10,0.668239351447,0.331760648553,83509,0.336478702894,
2024-03-01,microprice_deviation_bps,primary,1,0.142138233209,0.857861766791,86043,-0.715723533582,
2024-03-01,microprice_deviation_bps,primary,2,0.269829529445,0.730170470555,85176,-0.46034094111,
2024-03-01,microprice_deviation_bps,primary,3,0.339677582219,0.660322417781,85169,-0.320644835562,
2024-03-01,microprice_deviation_bps,primary,4,0.396400526638,0.603599473362,85068,-0.207198946725,
2024-03-01,microprice_deviation_bps,primary,5,0.46386626255,0.53613373745,84464,-0.0722674749005,
2024-03-01,microprice_deviation_bps,primary,6,0.516733331755,0.483266668245,84502,0.0334666635109,
2024-03-01,microprice_deviation_bps,primary,7,0.595869997162,0.404130002838,84552,0.191739994323,
2024-03-01,microprice_deviation_bps,primary,8,0.653849770777,0.346150229223,85070,0.307699541554,
2024-03-01,microprice_deviation_bps,primary,9,0.740234329233,0.259765670767,85350,0.480468658465,
2024-03-01,microprice_deviation_bps,primary,10,0.869361677412,0.130638322588,86085,0.738723354824,
2024-03-01,qi_1,primary,1,0.141265063741,0.858734936259,86051,-0.717469872517,
