date,model,mode,latency_ms,terminal_position,max_long_position,max_short_position,max_abs_position,mean_abs_position,median_abs_position,time_weighted_abs_inventory,long_timestamp_fraction,flat_timestamp_fraction,short_timestamp_fraction,max_exposure,mean_exposure,median_exposure,p95_exposure,desired_active_actual_zero_fraction,direction_mismatch_fraction,partially_attained_fraction
2024-07-01,lightgbm_extended,market,0,-0.6942487613772562,0.2957454536326718,-1.3794587327395869,1.3794587327395869,0.9222272289091413,0.9632679652679847,0.9222272289091413,0.025796863588435394,0.00017361492903200418,0.9740295214825326,87625.05868024028,58270.356567387615,60618.21259940293,77410.09028188916,0.0,0.451962185335825,0.014345388589644938
2024-07-01,lightgbm_extended,market,100,0.377227744490664,0.6006998927243689,-1.122375204048606,1.122375204048606,0.4172283342353387,0.3181176785882093,0.4172283342353387,0.3849158719925554,0.00017477236189221754,0.6149093556455524,71283.38767129657,26384.00691261046,19987.874763870885,61030.51025989089,1.0992634934593823e-05,0.3600252830603496,0.12542046828624823
2024-07-01,lightgbm_qi_ofi,market,0,-0.725700247928128,0.36649788464862254,-1.329395406760148,1.329395406760148,0.8428054527328327,0.8948181400175134,0.8428054527328327,0.026144093446499404,0.00017361492903200418,0.9736822916244686,84425.72090030536,53261.06755355492,56642.26335294732,74198.8743412389,0.0,0.44618674269422665,0.012939305882997972
2024-07-01,lightgbm_qi_ofi,market,100,0.27474928740704657,0.8637422479820699,-1.0910820224602424,1.0910820224602424,0.4613201603444227,0.4223290074361221,0.4613201603444227,0.5483685405118862,0.00017477236189221754,0.4514566871262215,69290.40807424532,29165.951546445016,26574.28115851136,59042.64496038844,1.0965513460167773e-05,0.40549920500027414,0.1012226547508087
2024-07-01,qi_direct_baseline,market,0,-1.339746468426229,0.1618278974324551,-1.870617457951455,1.870617457951455,1.171347524655119,1.191827228521698,1.171347524655119,0.02478989700004977,0.0006365880731173487,0.9745735149268329,119414.61678266471,74015.78342049089,75217.7396332395,100240.73653660223,0.0,0.4435511076127291,0.005566175643764759
2024-07-01,qi_direct_baseline,market,100,-1.0555631291189436,0.2772702469864111,-1.4173807561822744,1.4173807561822744,0.8604617979258509,0.9907431863249699,0.8604617979258509,0.02937333112649468,0.000637745505977562,0.9699889233675277,89870.91357190377,54386.95798223109,62502.645387117176,79601.27166372979,1.1244799280332845e-05,0.44078488698976726,0.011256044079613179
2024-07-01,lightgbm_extended,passive,0,11.957668360736466,11.957668360736466,-2.1445218481403194,11.957668360736466,7.163445451894928,8.005862741765736,7.163445451894928,0.9097503301577233,0.0017789743061479362,0.08847069553612869,753735.5501361296,452029.81323088624,503013.9421980901,732413.3503346021,0.0017588215895350116,0.5291304825766736,0.009673518742442563
2024-07-01,lightgbm_extended,passive,100,7.732312207016806,7.821530552968911,-2.1574831837057156,7.821530552968911,4.66119299964298,5.112749648615488,4.66119299964298,0.8944351785513802,0.0017789743061479362,0.10378584714247188,492058.4559754196,294135.42345963547,321298.71114181785,475488.0312474284,0.0017588215895350116,0.53017478289546,0.0023634165109376716
2024-07-01,lightgbm_qi_ofi,passive,0,9.130302156076135,10.06877227302567,-4.0306676587666015,10.06877227302567,5.096372007783204,5.023425779638758,5.096372007783204,0.8149855147277544,0.002123889298491518,0.18289059597375404,633070.1801891639,321638.04246461747,315692.19481274695,582897.3510519268,0.0020834475574318767,0.5323756784911453,0.01727068369976424
2024-07-01,lightgbm_qi_ofi,passive,100,5.819067941774399,7.021528248729046,-4.1319784843538825,7.021528248729046,3.2422124538455233,2.710846564298416,3.2422124538455233,0.8431875237997132,0.002123889298491518,0.1546885869017953,441467.49817828776,204709.42282700227,170942.32246922303,389008.41924217105,0.0020834475574318767,0.5331432644333571,0.018476890180382698
2024-07-01,qi_direct_baseline,passive,0,1.943989932014357,3.6595463441971856,-0.21997019001040682,3.6595463441971856,2.2454000579835722,2.102185461644489,2.2454000579835722,0.9927405811007418,0.0011909984131595486,0.006068420486098652,230182.93524001774,141679.6795861503,133079.26057556938,216311.96487048425,0.0006746879568199708,0.5364219048689981,0.004171820533003486
2024-07-01,qi_direct_baseline,passive,100,3.204774389905958,3.7069910927698375,-0.15676888406273967,3.7069910927698375,1.8966586492225985,2.124795512964505,1.8966586492225985,0.9865957700458691,0.0006736259246441762,0.01273060402948676,232665.1727768708,119648.86699950238,133774.5164103575,208257.18289326754,0.0001686719892049927,0.5349432137636343,0.009445631395479591
