date,model,mode,latency_ms,parent_order_count,fill_count,turnover,gross_pnl,recorded_fees,net_pnl,gross_pnl_bps_of_turnover,net_pnl_bps_of_turnover,pnl_per_parent_order,pnl_per_fill,realized_pnl,terminal_unrealized_pnl,terminal_position,terminal_mark_mid,terminal_inventory_value,max_abs_position
2024-07-01,lightgbm_extended,market,0,20465,27069,206518401.8921641,5720.895120207824,0.0,5720.895120207824,0.27701624009249565,0.27701624009249565,0.27954532715405933,0.21134490081672114,5716.878252395109,4.016867813528558,-0.6942487613772562,62899.995,-43668.24361938561,1.3794587327395869
2024-07-01,lightgbm_extended,market,100,20465,26748,206446116.54784513,5264.311049242642,0.0,5264.311049242642,0.2549968552216678,0.2549968552216678,0.2572348423768699,0.19681138960829378,5265.172457282935,-0.861408039753997,0.377227744490664,62899.995,23727.623242324044,1.122375204048606
2024-07-01,lightgbm_qi_ofi,market,0,21789,28164,219850080.70557386,5550.258410920898,0.0,5550.258410920898,0.2524565100503137,0.2524565100503137,0.2547275419211941,0.19706925191453267,5544.346333716735,5.912077204784866,-0.725700247928128,62899.995,-45646.54196617802,1.329395406760148
2024-07-01,lightgbm_qi_ofi,market,100,21789,27845,219792552.9203605,5323.436535794204,0.0,5323.436535794204,0.24220277097937412,0.24220277097937412,0.2443176160353483,0.19118105713033595,5324.145332422236,-0.7087966283417695,0.27474928740704657,62899.995,17281.72880415679,1.0910820224602424
2024-07-01,qi_direct_baseline,market,0,14240,20117,142876210.0156418,5374.277072860903,0.0,5374.277072860903,0.3761491904266314,0.3761491904266314,0.37740709781326565,0.2671510201750213,5375.860285026886,-1.5832121654803022,-1.339746468426229,62899.995,-84270.04616527747,1.870617457951455
2024-07-01,qi_direct_baseline,market,100,14240,19442,142879876.99890685,5177.823381225753,0.0,5177.823381225753,0.3623899663117268,0.3623899663117268,0.3636111925018085,0.26632154002807085,5176.968076487272,0.8553047394386138,-1.0555631291189436,62899.995,-66394.9155437659,1.4173807561822744
2024-07-01,lightgbm_extended,passive,0,20465,9501,4866605.998529209,-3630.264330080594,0.0,-3630.264330080594,-7.459540244634015,-7.459540244634015,-0.17738892402055187,-0.38209286707510726,-863.697169875399,-2766.5671602123907,11.957668360736466,62899.995,752137.280101982,11.957668360736466
2024-07-01,lightgbm_extended,passive,100,20465,10911,6234185.619222174,-2571.828693028423,0.0,-2571.828693028423,-4.125364322003143,-4.125364322003143,-0.12566961607761656,-0.2357097143275981,-639.9838329147991,-1931.8448601150326,7.732312207016806,62899.995,486362.39915979607,7.821530552968911
2024-07-01,lightgbm_qi_ofi,passive,0,21789,12060,6125189.791964068,-3080.5074360552244,0.0,-3080.5074360552244,-5.029244057215486,-5.029244057215486,-0.1413790185898951,-0.2554317940344299,-805.4692192090347,-2275.038216851113,9.130302156076135,62899.995,574295.9599656782,10.06877227302567
2024-07-01,lightgbm_qi_ofi,passive,100,21789,12748,8031909.703807328,-2178.263225474686,0.0,-2178.263225474686,-2.712011595999559,-2.712011595999559,-0.09997077541303805,-0.17087097783767538,-880.0457814257971,-1298.2174440461508,5.819067941774399,62899.995,366019.34444227,7.021528248729046
2024-07-01,qi_direct_baseline,passive,0,14240,1972,1879536.6388541388,-1035.9125899009377,0.0,-1035.9125899009377,-5.511531770577682,-5.511531770577682,-0.07274667063911079,-0.5253106439659928,-329.60068186357563,-706.3119080364783,1.943989932014357,62899.995,122276.9570037534,3.6595463441971856
2024-07-01,qi_direct_baseline,passive,100,14240,2815,3023648.8893636637,151.5554936050612,0.0,151.5554936050612,0.5012337713488835,0.5012337713488835,0.010642941966647557,0.05383854124513719,1075.537259030324,-923.9817654234315,3.204774389905958,62899.995,201580.29310121282,3.7069910927698375
