date,median_spread_bps,p95_spread_bps,minimum_spread_bps,fraction_at_minimum_spread,distinct_spread_values,horizon,group,qi_1_spearman_ic,count
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,1s,minimum_spread,0.121145606481,44
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,1s,wider_spread,0.389387222536,863942
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,5s,minimum_spread,,44
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,5s,wider_spread,0.252446565066,863942
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,30s,minimum_spread,0.801869990952,44
2024-05-01,0.00172854826232,0.00175598776463,0.00164361158993,5.09267511279e-05,53458,30s,wider_spread,0.122787412789,863942
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,100ms,minimum_spread,0.866025403784,3
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,100ms,wider_spread,0.122811303411,863943
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,500ms,minimum_spread,,3
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,500ms,wider_spread,0.219783921347,863943
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,1s,minimum_spread,,3
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,1s,wider_spread,0.281578978919,863943
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,5s,minimum_spread,,3
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,5s,wider_spread,0.438249669312,863943
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,30s,minimum_spread,,3
2024-06-01,0.00147698695547,0.00147954196636,0.00147307958114,3.47243924968e-06,4857,30s,wider_spread,0.443882977872,863943
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,100ms,minimum_spread,0.0753065568508,24
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,100ms,wider_spread,0.232502808947,863957
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,500ms,minimum_spread,0.0074107967498,24
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,500ms,wider_spread,0.37587734534,863957
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,1s,minimum_spread,0.305233847834,24
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,1s,wider_spread,0.440738520529,863957
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,5s,minimum_spread,,24
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,5s,wider_spread,0.463163715612,863957
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,30s,minimum_spread,0.0879386876675,24
2024-07-01,0.00158348125028,0.00159461568446,0.00156588242838,2.77783886451e-05,16046,30s,wider_spread,0.225567795103,863957
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,100ms,minimum_spread,0.353553390593,5
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,100ms,wider_spread,0.365559695332,863983
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,500ms,minimum_spread,,5
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,500ms,wider_spread,0.469553797447,863983
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,1s,minimum_spread,0.666885928855,5
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,1s,wider_spread,0.475750641855,863983
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,5s,minimum_spread,0.666885928855,5
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,5s,wider_spread,0.332954995875,863983
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,30s,minimum_spread,,5
2024-08-01,0.00155360379763,0.0015914303386,0.00152308992909,5.78711741367e-06,26668,30s,wider_spread,0.13294514048,863983
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,100ms,minimum_spread,0.311710248438,30
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,100ms,wider_spread,0.319672171135,863936
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,500ms,minimum_spread,0.617112783017,30
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,500ms,wider_spread,0.446000210859,863936
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,1s,minimum_spread,0.780526158266,30
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,1s,wider_spread,0.491378742204,863936
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,5s,minimum_spread,,30
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,5s,wider_spread,0.450022903772,863936
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,30s,minimum_spread,,30
2024-09-01,0.00171788556803,0.00174009898901,0.00169271802018,3.47235886597e-05,15309,30s,wider_spread,0.202142599033,863936
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,100ms,minimum_spread,0.0450814138508,217
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,100ms,wider_spread,0.349354880985,863763
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,500ms,minimum_spread,0.116427167551,217
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,500ms,wider_spread,0.428877129159,863763
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,1s,minimum_spread,0.233363254141,217
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,1s,wider_spread,0.43026555926,863763
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,5s,minimum_spread,0.120677096696,217
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,5s,wider_spread,0.320869469894,863763
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,30s,minimum_spread,0.451520568526,217
2024-10-01,0.00157748624255,0.00164500753784,0.00155932567585,0.000251163221371,34138,30s,wider_spread,0.167008937024,863763
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,100ms,minimum_spread,0.339683110243,25
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,100ms,wider_spread,0.315337948654,863925
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,500ms,minimum_spread,0.455110625458,25
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,500ms,wider_spread,0.418986175941,863925
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,1s,minimum_spread,0.2903819825,25
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,1s,wider_spread,0.434548539634,863925
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,5s,minimum_spread,-0.278089476397,25
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,5s,wider_spread,0.348708500547,863925
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,30s,minimum_spread,0.465382994653,25
2024-11-01,0.00143791551714,0.00144699006171,0.00139600843496,2.8936859772e-05,24810,30s,wider_spread,0.149076466793,863925
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,100ms,minimum_spread,0.316562930675,24
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,100ms,wider_spread,0.23018078373,863963
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,500ms,minimum_spread,0.707726711354,24
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,500ms,wider_spread,0.367347036424,863963
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,1s,minimum_spread,0.548164718883,24
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,1s,wider_spread,0.432688086251,863963
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,5s,minimum_spread,0.331871244593,24
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,5s,wider_spread,0.475070700173,863963
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,30s,minimum_spread,0.100190626339,24
2024-12-01,0.00103127458784,0.00104020447507,0.00102211869977,2.77781957367e-05,16634,30s,wider_spread,0.283445138073,863963
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,100ms,minimum_spread,-0.408248290464,7
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,100ms,wider_spread,0.226209107208,863985
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,500ms,minimum_spread,0.158113883008,7
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,500ms,wider_spread,0.353359938734,863985
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,1s,minimum_spread,,7
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,1s,wider_spread,0.408534468221,863985
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,5s,minimum_spread,,7
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,5s,wider_spread,0.435385988741,863985
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,30s,minimum_spread,,7
2025-01-01,0.00106527862282,0.00107110504033,0.00105095950238,8.10192686969e-06,17786,30s,wider_spread,0.272058557755,863985
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,100ms,minimum_spread,0.221118690376,56
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,100ms,wider_spread,0.229045233529,863936
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,500ms,minimum_spread,0.474708406703,56
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,500ms,wider_spread,0.375460258993,863936
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,1s,minimum_spread,0.631867653108,56
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,1s,wider_spread,0.448171989366,863936
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,5s,minimum_spread,0.568485912212,56
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,5s,wider_spread,0.516494092167,863936
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,30s,minimum_spread,,56
2025-02-01,0.000979508822362,0.00099249421289,0.000972916864594,6.48154149575e-05,18304,30s,wider_spread,0.281525402071,863936
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,100ms,minimum_spread,0.377964473009,20
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,100ms,wider_spread,0.326524935936,863955
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,500ms,minimum_spread,0.530663744781,20
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,500ms,wider_spread,0.474687932713,863955
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,1s,minimum_spread,0.426057791474,20
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,1s,wider_spread,0.50631096409,863955
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,5s,minimum_spread,,20
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,5s,wider_spread,0.406733238348,863955
