date,horizon,bucket,row_type,fraction_ret_zero,unique_forward_return_values,fraction_unchanged_mid,p_return_gt_0,p_return_lt_0,count
2024-01-01,30s,5,qi_1_decile,0.206734108061,6880,0.206734108061,0.374681698227,0.418584193713,86396
2024-01-01,30s,6,qi_1_decile,0.22781541312,6819,0.22781541312,0.421608476637,0.350576110243,86355
2024-01-01,30s,7,qi_1_decile,0.222886056017,6900,0.222886056017,0.472321604316,0.304792339667,86367
2024-01-01,30s,8,qi_1_decile,0.19444412279,7577,0.19444412279,0.507775680589,0.297780196621,86359
2024-01-01,30s,9,qi_1_decile,0.125628664797,9258,0.125628664797,0.586831065891,0.287540269312,86294
2024-01-01,30s,10,qi_1_decile,0.0701888452766,15881,0.0701888452766,0.677330461866,0.252480692857,86367
2024-02-01,100ms,,daily,0.954490792022,38941,0.954490792022,0.0223442930905,0.023164914888,863979
2024-02-01,100ms,1,qi_1_decile,0.837693002153,13872,0.837693002153,0.00164355656381,0.160663441283,86398
2024-02-01,100ms,2,qi_1_decile,0.966110326628,2922,0.966110326628,0.00156253616982,0.0323271372023,86398
2024-02-01,100ms,3,qi_1_decile,0.984282043566,1356,0.984282043566,0.00188661774578,0.0138313386884,86398
2024-02-01,100ms,4,qi_1_decile,0.989270584967,928,0.989270584967,0.00287043681567,0.00785897821709,86398
2024-02-01,100ms,5,qi_1_decile,0.989455774439,912,0.989455774439,0.00454871640547,0.0059955091553,86398
2024-02-01,100ms,6,qi_1_decile,0.989571517859,902,0.989571517859,0.00657422625524,0.00385425588555,86398
2024-02-01,100ms,7,qi_1_decile,0.988819185629,967,0.988819185629,0.00883122294498,0.00234959142573,86398
2024-02-01,100ms,8,qi_1_decile,0.98540475474,1260,0.98540475474,0.0131021551425,0.00149309011783,86398
2024-02-01,100ms,9,qi_1_decile,0.966793212806,2865,0.966793212806,0.0318410148383,0.00136577235584,86398
2024-02-01,100ms,10,qi_1_decile,0.847506279153,13096,0.847506279153,0.150583932312,0.00190978853432,86397
2024-02-01,500ms,,daily,0.871189559883,57702,0.871189559883,0.0624624555109,0.066347984606,863975
2024-02-01,500ms,1,qi_1_decile,0.651704900576,17774,0.651704900576,0.00495381837543,0.343341281048,86398
2024-02-01,500ms,2,qi_1_decile,0.869869672909,6854,0.869869672909,0.00827565452904,0.121854672562,86398
2024-02-01,500ms,3,qi_1_decile,0.923331558601,4142,0.923331558601,0.0116206393667,0.0650478020325,86398
2024-02-01,500ms,4,qi_1_decile,0.943713974861,3058,0.943713974861,0.0155096182782,0.0407764068613,86398
2024-02-01,500ms,5,qi_1_decile,0.94417694854,3161,0.94417694854,0.0231139609713,0.0327090904882,86398
2024-02-01,500ms,6,qi_1_decile,0.946248755758,3035,0.946248755758,0.0313664668164,0.0223847774254,86398
2024-02-01,500ms,7,qi_1_decile,0.942359776847,3142,0.942359776847,0.043044977893,0.0145952452603,86398
2024-02-01,500ms,8,qi_1_decile,0.92877149934,3861,0.92877149934,0.0618185606148,0.00940994004491,86398
2024-02-01,500ms,9,qi_1_decile,0.877715661423,6372,0.877715661423,0.115119737954,0.00716460062271,86397
2024-02-01,500ms,10,qi_1_decile,0.683994258861,16616,0.683994258861,0.309813181471,0.0061925596685,86394
2024-02-01,1s,,daily,0.793686123361,62107,0.793686123361,0.10051506418,0.105798812459,863970
2024-02-01,1s,1,qi_1_decile,0.533276233246,18419,0.533276233246,0.0118868492326,0.454836917521,86398
2024-02-01,1s,2,qi_1_decile,0.780353711891,8289,0.780353711891,0.0187157110118,0.200930577097,86398
2024-02-01,1s,3,qi_1_decile,0.852542882937,5597,0.852542882937,0.0266325609389,0.120824556124,86398
