date,model,latency_ms,order_count,fill_count,fill_rate,partial_fill_count,average_levels_consumed,average_implementation_shortfall,median_implementation_shortfall,p95_implementation_shortfall,average_signed_decision_to_arrival_mid_move,average_signed_markout_100ms,average_signed_markout_500ms,average_signed_markout_1000ms,average_signed_markout_5000ms
2024-07-01,lightgbm_extended,0,20465,20465,1.0,65,1.322697288052773,5.607924162474779e-06,7.947251228395744e-08,3.613566280528998e-05,0.0,-1.1470008889870075e-06,7.897819286336045e-06,1.320663130130423e-05,3.317290279233343e-05
2024-07-01,lightgbm_extended,100,20465,20465,1.0,74,1.30701197165893,9.781072581593323e-06,7.949750576385782e-08,5.3906345948371114e-05,2.433713887024588e-06,-1.4886084743443497e-06,6.145851472076692e-06,1.1143525326177007e-05,3.216281443944474e-05
2024-07-01,lightgbm_qi_ofi,0,21789,21789,1.0,64,1.2925788241773373,5.1850238244400755e-06,7.945840522780069e-08,3.42110524878137e-05,0.0,-1.1746693451358321e-06,7.1725650179540575e-06,1.2107392735846244e-05,3.050569239677974e-05
2024-07-01,lightgbm_qi_ofi,100,21789,21789,1.0,71,1.2779384092890909,8.28691755766168e-06,7.947862664202427e-08,5.0780864571450095e-05,1.9140742913897305e-06,-1.232820901249429e-06,5.668770363884431e-06,1.0610174536886874e-05,3.057063869364893e-05
2024-07-01,qi_direct_baseline,0,14240,14240,1.0,61,1.4127106741573034,6.77987427046345e-06,7.951904966116782e-08,3.9548383682191434e-05,0.0,-1.088351731772336e-06,1.0535309514301707e-05,1.7416548354535208e-05,3.987896339199093e-05
2024-07-01,qi_direct_baseline,100,14240,14240,1.0,61,1.365308988764045,1.0472018849959377e-05,7.95317108818811e-08,5.671547728631845e-05,2.8111032337073096e-06,-1.4636148382271684e-06,8.306334117852412e-06,1.5093855915862536e-05,3.933552109728859e-05
