date,model,latency_ms,order_count,full_fill_count,partial_fill_count,no_fill_or_expired_count,fill_rate,mean_fill_fraction,median_time_to_first_fill_ms,median_time_to_full_fill_ms,maker_fill_count,taker_on_arrival_count,average_queue_ahead_at_arrival,average_signed_markout_100ms,average_signed_markout_500ms,average_signed_markout_1000ms,average_signed_markout_5000ms
2024-07-01,lightgbm_extended,0,20465,390,243,19832,0.030930857561690693,0.023682415223913997,445.35400000000004,502.1755,9501,0,7.5250407383337405,-8.853923819075048e-05,-0.00010300249237838641,-0.00010995416381369382,-0.00014437388197153765
2024-07-01,lightgbm_extended,100,20465,520,258,19687,0.03801612509161984,0.03036492513370315,346.01300000000003,374.1475,10798,113,7.081707498656243,-8.624031028703795e-05,-0.00010239381380745542,-0.00010997019695218208,-0.00014979489708356197
2024-07-01,lightgbm_qi_ofi,0,21789,497,296,20996,0.03639451099178485,0.028111386227098304,444.73699999999997,503.372,12060,0,7.450861327275231,-9.322343980259134e-05,-0.00010873946625068069,-0.00011684898244945549,-0.00015091894030667703
2024-07-01,lightgbm_qi_ofi,100,21789,685,303,20801,0.04534398090779751,0.03686223902300702,317.95799999999997,310.259,12552,196,7.0575792812887235,-8.61329387292434e-05,-0.00010137862400062468,-0.00011011667748482327,-0.00015148806561746244
2024-07-01,qi_direct_baseline,0,14240,172,38,14030,0.014747191011235955,0.013128770964257372,465.33950000000004,512.02,1972,0,7.726489887640448,-0.00014105230024999424,-0.00015450348990506962,-0.0001528900626330091,-0.00011454134612318728
2024-07-01,qi_direct_baseline,100,14240,278,58,13904,0.02359550561797753,0.02116323707953792,242.7215,232.9665,2714,101,7.153759980337078,-0.00013767096596692502,-0.0001599663576247513,-0.00016111101548255477,-0.0001700897346064218
