date,fold_id,model,feature_set,train_row_count,q05,q10,q90,q95
2025-07-01,13,lightgbm_extended,extended_book_flow,1555140,-3.35078044409e-05,-2.17719754708e-05,2.18308857261e-05,3.36218680449e-05
2025-08-01,14,qi_direct_baseline,qi_only,1641533,-2.31652389299e-05,-2.160554083e-05,2.16584776725e-05,2.32485912167e-05
2025-08-01,14,lightgbm_qi_ofi,qi_ofi,1641533,-3.09882559436e-05,-2.17934689733e-05,2.16972848664e-05,3.31005311761e-05
2025-08-01,14,lightgbm_extended,extended_book_flow,1641533,-3.22268328832e-05,-2.07419261023e-05,2.08767288213e-05,3.3109490399e-05
2025-09-01,15,qi_direct_baseline,qi_only,1727932,-2.37029904244e-05,-2.20940452412e-05,2.20972539931e-05,2.37329066909e-05
2025-09-01,15,lightgbm_qi_ofi,qi_ofi,1727932,-3.1785950611e-05,-2.20829245267e-05,2.22210633614e-05,3.36156342177e-05
2025-09-01,15,lightgbm_extended,extended_book_flow,1727932,-3.27157517591e-05,-2.13276065474e-05,2.14428539146e-05,3.36982877293e-05
2025-10-01,16,qi_direct_baseline,qi_only,1814325,-2.35759650232e-05,-2.20319095794e-05,2.20692106024e-05,2.36642951241e-05
2025-10-01,16,lightgbm_qi_ofi,qi_ofi,1814325,-3.1592697214e-05,-2.24510344762e-05,2.24349594689e-05,3.26542672254e-05
2025-10-01,16,lightgbm_extended,extended_book_flow,1814325,-3.23728568436e-05,-2.14554568877e-05,2.15988253623e-05,3.32880456964e-05
2025-11-01,17,qi_direct_baseline,qi_only,1900723,-2.31895921239e-05,-2.1660339133e-05,2.18378296538e-05,2.34720409629e-05
2025-11-01,17,lightgbm_qi_ofi,qi_ofi,1900723,-3.096485171e-05,-2.18898433331e-05,2.23638302647e-05,3.25968071664e-05
2025-11-01,17,lightgbm_extended,extended_book_flow,1900723,-3.1993808312e-05,-2.09386922311e-05,2.13255503023e-05,3.2711019499e-05
2025-12-01,18,qi_direct_baseline,qi_only,1987121,-2.24468052678e-05,-2.09888643047e-05,2.12008051007e-05,2.27860057392e-05
2025-12-01,18,lightgbm_qi_ofi,qi_ofi,1987121,-3.03857652369e-05,-2.11199446109e-05,2.13620568991e-05,3.20785412128e-05
2025-12-01,18,lightgbm_extended,extended_book_flow,1987121,-3.10284185156e-05,-2.0022407581e-05,2.05385476042e-05,3.20747891676e-05
