date,fold_id,comparison,disagreement_type,count,fraction,mean_future_mid_return,median_future_mid_return,p_return_gt_0,p_return_lt_0
2024-09-01,3,qi_direct_baseline_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_SHORT,0,0,,,,
2024-09-01,3,qi_direct_baseline_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_LONG,0,0,,,,
2024-09-01,3,qi_direct_baseline_vs_lightgbm_extended,ANY_DISAGREEMENT,18395,0.212917414202,-1.47376526657e-06,0,0.125577602609,0.12927425931
2024-09-01,3,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_LONG,892,0.0103246715666,2.584767417e-05,0,0.393497757848,0.054932735426
2024-09-01,3,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_SHORT,748,0.00865790844378,-3.32548808741e-05,0,0.0628342245989,0.409090909091
2024-09-01,3,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_FLAT,1665,0.0192719486081,1.60510492457e-05,0,0.289489489489,0.0174174174174
2024-09-01,3,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_FLAT,1182,0.0136813473002,-1.85728521792e-05,0,0.0177664974619,0.268189509306
2024-09-01,3,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_SHORT,0,0,,,,
2024-09-01,3,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_LONG,0,0,,,,
2024-09-01,3,lightgbm_qi_ofi_vs_lightgbm_extended,ANY_DISAGREEMENT,4487,0.0519358759187,6.58203740614e-07,0,0.200802317807,0.156229106307
2024-10-01,4,qi_direct_baseline_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_LONG,3203,0.0370730465178,3.83003006033e-05,0,0.46300343428,0.0964720574461
2024-10-01,4,qi_direct_baseline_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_SHORT,4145,0.0479762028774,-3.75122922059e-05,0,0.0984318455971,0.482750301568
2024-10-01,4,qi_direct_baseline_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_FLAT,2872,0.0332418949732,1.62940370631e-05,0,0.221100278552,0.0125348189415
2024-10-01,4,qi_direct_baseline_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_FLAT,2334,0.0270148269037,-1.52806321493e-05,0,0.0137103684662,0.244644387318
2024-10-01,4,qi_direct_baseline_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_SHORT,0,0,,,,
2024-10-01,4,qi_direct_baseline_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_LONG,0,0,,,,
2024-10-01,4,qi_direct_baseline_vs_lightgbm_extended,ANY_DISAGREEMENT,12554,0.145305971272,-1.72702798727e-06,0,0.203759757846,0.232356221125
2024-10-01,4,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_LONG,1576,0.0182413741218,4.52152639254e-05,0,0.485406091371,0.0939086294416
2024-10-01,4,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_SHORT,2054,0.0237739736333,-4.5465346436e-05,0,0.121713729309,0.499026290166
2024-10-01,4,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_FLAT,804,0.00930587867634,2.18039773146e-05,0,0.298507462687,0.0161691542289
2024-10-01,4,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_FLAT,861,0.00996562380638,-2.22065210822e-05,0,0.0371660859466,0.339140534262
2024-10-01,4,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_SHORT,0,0,,,,
2024-10-01,4,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_LONG,0,0,,,,
2024-10-01,4,lightgbm_qi_ofi_vs_lightgbm_extended,ANY_DISAGREEMENT,5295,0.0612868502379,-4.47893909801e-06,0,0.243059490085,0.279131255902
2024-11-01,5,qi_direct_baseline_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_LONG,2145,0.0248281130634,3.33004469624e-05,0,0.419114219114,0.0662004662005
2024-11-01,5,qi_direct_baseline_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_SHORT,3118,0.0360904692455,-3.2572764066e-05,0,0.077293136626,0.411161000641
2024-11-01,5,qi_direct_baseline_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_FLAT,2815,0.0325832812464,2.20024345464e-05,0,0.33214920071,0.0117229129663
2024-11-01,5,qi_direct_baseline_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_FLAT,2653,0.030708151029,-2.19929001762e-05,0,0.0143234074632,0.312476441764
2024-11-01,5,qi_direct_baseline_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_SHORT,0,0,,,,
2024-11-01,5,qi_direct_baseline_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_LONG,0,0,,,,
2024-11-01,5,qi_direct_baseline_vs_lightgbm_extended,ANY_DISAGREEMENT,10731,0.124210014584,-2.47346291517e-06,0,0.196906159724,0.213027676824
2024-11-01,5,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_LONG,574,0.00664397990601,3.61062064402e-05,0,0.487804878049,0.108013937282
2024-11-01,5,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_SHORT,1124,0.0130101627428,-3.45545679638e-05,0,0.112989323843,0.419039145907
2024-11-01,5,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_FLAT,1582,0.0183114568141,2.71309100524e-05,0,0.37610619469,0.027180783818
2024-11-01,5,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_FLAT,1221,0.0141329258976,-2.76770422949e-05,0,0.026208026208,0.369369369369
2024-11-01,5,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_SHORT,0,0,,,,
2024-11-01,5,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_LONG,0,0,,,,
2024-11-01,5,lightgbm_qi_ofi_vs_lightgbm_extended,ANY_DISAGREEMENT,4501,0.0520985253606,-1.99665426213e-06,0,0.229726727394,0.228171517441
2024-12-01,6,qi_direct_baseline_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_LONG,1632,0.0188893261418,1.86554236802e-05,0,0.317401960784,0.015318627451
2024-12-01,6,qi_direct_baseline_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_SHORT,1955,0.0226278386074,-1.83468826574e-05,0,0.0153452685422,0.290537084399
2024-12-01,6,qi_direct_baseline_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_FLAT,2705,0.0313085951064,1.25980545238e-05,0,0.218853974122,0.00554528650647
2024-12-01,6,qi_direct_baseline_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_FLAT,4367,0.0505451515081,-1.07304424424e-05,0,0.00503778337531,0.208152049462
2024-12-01,6,qi_direct_baseline_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_SHORT,0,0,,,,
2024-12-01,6,qi_direct_baseline_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_LONG,0,0,,,,
2024-12-01,6,qi_direct_baseline_vs_lightgbm_extended,ANY_DISAGREEMENT,10659,0.123370911364,-1.70790963582e-06,0,0.109015855146,0.14232104325
2024-12-01,6,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_LONG,898,0.0103937591148,2.41946557999e-05,0,0.396436525612,0.011135857461
2024-12-01,6,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_SHORT,1003,0.0116090650247,-1.95530938966e-05,0,0.0229312063809,0.346959122632
2024-12-01,6,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_FLAT,576,0.00666682099123,1.7231092312e-05,0,0.284722222222,0.0104166666667
2024-12-01,6,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_FLAT,907,0.0104979281928,-1.44892049535e-05,0,0.00661521499449,0.216097023153
2024-12-01,6,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_SHORT,0,0,,,,
2024-12-01,6,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_LONG,0,0,,,,
2024-12-01,6,lightgbm_qi_ofi_vs_lightgbm_extended,ANY_DISAGREEMENT,3384,0.0391675733235,-3.25517727835e-07,0,0.162234042553,0.16548463357
2025-01-01,7,qi_direct_baseline_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_LONG,1863,0.0215627495689,1.55883318552e-05,0,0.216317767042,0.0150295222759
2025-01-01,7,qi_direct_baseline_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_SHORT,1401,0.0162154654568,-1.37306611081e-05,0,0.0185581727338,0.231263383298
2025-01-01,7,qi_direct_baseline_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_FLAT,3994,0.0462273868911,1.28541259467e-05,0,0.190035052579,0.00325488232349
2025-01-01,7,qi_direct_baseline_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_FLAT,4220,0.0488431579069,-1.09480126478e-05,0,0.00616113744076,0.192417061611
2025-01-01,7,qi_direct_baseline_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_SHORT,0,0,,,,
2025-01-01,7,qi_direct_baseline_vs_lightgbm_extended,LEFT_SHORT_TO_RIGHT_LONG,0,0,,,,
2025-01-01,7,qi_direct_baseline_vs_lightgbm_extended,ANY_DISAGREEMENT,11478,0.132848759824,1.30189681927e-06,0,0.105767555323,0.102543997212
2025-01-01,7,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_LONG,538,0.00622692392273,3.18704338388e-05,0,0.355018587361,0.0185873605948
2025-01-01,7,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_FLAT_TO_RIGHT_SHORT,504,0.00583340084955,-2.64799111635e-05,0,0.0178571428571,0.396825396825
2025-01-01,7,lightgbm_qi_ofi_vs_lightgbm_extended,LEFT_LONG_TO_RIGHT_FLAT,995,0.0115163369946,1.25042119907e-05,0,0.203015075377,0.00502512562814
