date,fold_id,model,signal,count,mean_future_mid_return,median_future_mid_return,p_return_gt_0,p_return_lt_0,mean_signed_future_mid_return,median_signed_future_mid_return,positive_signed_fraction
2024-10-01,4,qi_direct_baseline,LONG_MINUS_SHORT,20236,8.85294077854e-05,7.80371716092e-07,,,,,
2024-10-01,4,lightgbm_qi_ofi,SHORT,10353,-4.606665585e-05,-1.13711085245e-05,0.0574712643678,0.548633246402,4.606665585e-05,1.13711085245e-05,0.548633246402
2024-10-01,4,lightgbm_qi_ofi,FLAT,65984,-7.59725729896e-07,0,0.124090688652,0.128622090204,0,0,0
2024-10-01,4,lightgbm_qi_ofi,LONG,10060,4.83583236432e-05,9.38409821482e-06,0.537574552684,0.0579522862823,4.83583236432e-05,9.38409821482e-06,0.537574552684
2024-10-01,4,lightgbm_qi_ofi,LONG_MINUS_SHORT,20413,9.44249794932e-05,2.07552067393e-05,,,,,
2024-10-01,4,lightgbm_extended,SHORT,11546,-4.77389654376e-05,-1.46507194062e-05,0.0704139961892,0.555430452105,4.77389654376e-05,1.46507194062e-05,0.555430452105
2024-10-01,4,lightgbm_extended,FLAT,64019,-4.62247048833e-07,0,0.116293600337,0.119011543448,0,0,0
2024-10-01,4,lightgbm_extended,LONG,10832,4.98720083121e-05,1.38841852294e-05,0.547728951256,0.0662850812408,4.98720083121e-05,1.38841852294e-05,0.547728951256
2024-10-01,4,lightgbm_extended,LONG_MINUS_SHORT,22378,9.76109737497e-05,2.85349046355e-05,,,,,
2024-11-01,5,qi_direct_baseline,SHORT,7984,-4.00435993352e-05,-1.00676034728e-06,0.0346943887776,0.507640280561,4.00435993352e-05,1.00676034728e-06,0.507640280561
2024-11-01,5,qi_direct_baseline,FLAT,69621,-4.06376186281e-07,0,0.122463049942,0.116401660419,0,0,0
2024-11-01,5,qi_direct_baseline,LONG,8789,3.82991941059e-05,3.16874556789e-06,0.517237455911,0.0299237683468,3.82991941059e-05,3.16874556789e-06,0.517237455911
2024-11-01,5,qi_direct_baseline,LONG_MINUS_SHORT,16773,7.8342793441e-05,4.17550591516e-06,,,,,
2024-11-01,5,lightgbm_qi_ofi,SHORT,8546,-4.18765674623e-05,-4.89968654998e-06,0.0450503159373,0.524923941025,4.18765674623e-05,4.89968654998e-06,0.524923941025
2024-11-01,5,lightgbm_qi_ofi,FLAT,68721,-3.17399495295e-07,0,0.118435412756,0.110315624045,0,0,0
2024-11-01,5,lightgbm_qi_ofi,LONG,9127,4.03528387958e-05,7.59453882328e-06,0.52865125452,0.0386764544757,4.03528387958e-05,7.59453882328e-06,0.52865125452
2024-11-01,5,lightgbm_qi_ofi,LONG_MINUS_SHORT,17673,8.22294062581e-05,1.24942253733e-05,,,,,
2024-11-01,5,lightgbm_extended,SHORT,8449,-4.29545284983e-05,-7.92464840866e-06,0.0568114569772,0.533317552373,4.29545284983e-05,7.92464840866e-06,0.533317552373
2024-11-01,5,lightgbm_extended,FLAT,69826,7.77617540626e-08,0,0.119711855183,0.10801134248,0,0,0
2024-11-01,5,lightgbm_extended,LONG,8119,4.26289225869e-05,1.56635927345e-05,0.555487128957,0.0458184505481,4.26289225869e-05,1.56635927345e-05,0.555487128957
2024-11-01,5,lightgbm_extended,LONG_MINUS_SHORT,16568,8.55834510852e-05,2.35882411431e-05,,,,,
2024-12-01,6,qi_direct_baseline,SHORT,9746,-1.93694195488e-05,0,0.00697722142417,0.355222655448,1.93694195488e-05,0,0.355222655448
2024-12-01,6,qi_direct_baseline,FLAT,69361,3.80557827663e-07,0,0.0524069722178,0.0456164126815,0,0,0
2024-12-01,6,qi_direct_baseline,LONG,7291,2.33723133772e-05,0,0.39391030037,0.00685776985324,2.33723133772e-05,0,0.39391030037
2024-12-01,6,qi_direct_baseline,LONG_MINUS_SHORT,17037,4.2741732926e-05,0,,,,,
2024-12-01,6,lightgbm_qi_ofi,SHORT,7238,-2.36685040185e-05,0,0.00815142304504,0.410196186792,2.36685040185e-05,0,0.410196186792
2024-12-01,6,lightgbm_qi_ofi,FLAT,73264,3.32604258922e-07,0,0.0533686394409,0.0498334789255,0,0,0
2024-12-01,6,lightgbm_qi_ofi,LONG,5896,2.62845588629e-05,0,0.441994572592,0.00949796472185,2.62845588629e-05,0,0.441994572592
2024-12-01,6,lightgbm_qi_ofi,LONG_MINUS_SHORT,13134,4.99530628814e-05,0,,,,,
2024-12-01,6,lightgbm_extended,SHORT,7334,-2.42408885153e-05,0,0.0103626943005,0.425552222525,2.42408885153e-05,0,0.425552222525
2024-12-01,6,lightgbm_extended,FLAT,72846,2.61322117543e-07,0,0.050805809516,0.0479779260357,0,0,0
2024-12-01,6,lightgbm_extended,LONG,6218,2.68213976829e-05,0,0.449983917658,0.00964940495336,2.68213976829e-05,0,0.449983917658
2024-12-01,6,lightgbm_extended,LONG_MINUS_SHORT,13552,5.10622861983e-05,0,,,,,
2025-01-01,7,qi_direct_baseline,SHORT,8677,-2.08461632755e-05,0,0.00749106834159,0.356459605855,2.08461632755e-05,0,0.356459605855
2025-01-01,7,qi_direct_baseline,FLAT,69932,1.53668309875e-07,0,0.0411685637476,0.0411256649316,0,0,0
2025-01-01,7,qi_direct_baseline,LONG,7790,2.32262471987e-05,0,0.329268292683,0.00487804878049,2.32262471987e-05,0,0.329268292683
2025-01-01,7,qi_direct_baseline,LONG_MINUS_SHORT,16467,4.40724104742e-05,0,,,,,
2025-01-01,7,lightgbm_qi_ofi,SHORT,6274,-2.42178432452e-05,0,0.00972266496653,0.414249282754,2.42178432452e-05,0,0.414249282754
2025-01-01,7,lightgbm_qi_ofi,FLAT,74009,1.1903743173e-07,0,0.0436163169344,0.0453998837979,0,0,0
2025-01-01,7,lightgbm_qi_ofi,LONG,6116,2.51683365628e-05,0,0.3629823414,0.00784826684107,2.51683365628e-05,0,0.3629823414
2025-01-01,7,lightgbm_qi_ofi,LONG_MINUS_SHORT,12390,4.93861798081e-05,0,,,,,
2025-01-01,7,lightgbm_extended,SHORT,5858,-2.62748722397e-05,0,0.0110959371799,0.444691020826,2.62748722397e-05,0,0.444691020826
2025-01-01,7,lightgbm_extended,FLAT,74882,8.12036520152e-08,0,0.043201303384,0.0447236986192,0,0,0
2025-01-01,7,lightgbm_extended,LONG,5659,2.803218747e-05,0,0.390351652235,0.00936561229899,2.803218747e-05,0,0.390351652235
