date,fold_id,model,signal_side,average_run_length_anchors,median_run_length_anchors,p95_run_length_anchors,max_run_length_anchors,average_run_length_seconds,median_run_length_seconds,p95_run_length_seconds,max_run_length_seconds
2025-03-01,9,lightgbm_extended,SHORT,1.49915461206,1,3,13,1.49915461206,1,3,13
2025-04-01,10,qi_direct_baseline,LONG,2.15103780578,1,6,32,2.15103780578,1,6,32
2025-04-01,10,qi_direct_baseline,SHORT,2.20641244546,1,6,33,2.20641244546,1,6,33
2025-04-01,10,lightgbm_qi_ofi,LONG,1.62910532276,1,4,12,1.62910532276,1,4,12
2025-04-01,10,lightgbm_qi_ofi,SHORT,1.62987644037,1,4,11,1.62987644037,1,4,11
2025-04-01,10,lightgbm_extended,LONG,1.64902204284,1,4,17,1.64902204284,1,4,17
2025-04-01,10,lightgbm_extended,SHORT,1.69661610268,1,4,13,1.69661610268,1,4,13
2025-05-01,11,qi_direct_baseline,LONG,2.16732438832,1,7,31,2.16732438832,1,7,31
2025-05-01,11,qi_direct_baseline,SHORT,2.06484091824,1,6,36,2.06484091824,1,6,36
2025-05-01,11,lightgbm_qi_ofi,LONG,1.35787372099,1,3,11,1.35787372099,1,3,11
2025-05-01,11,lightgbm_qi_ofi,SHORT,1.428125,1,3,10,1.428125,1,3,10
2025-05-01,11,lightgbm_extended,LONG,1.25085324232,1,2,7,1.25085324232,1,2,7
2025-05-01,11,lightgbm_extended,SHORT,1.23323013416,1,2,9,1.23323013416,1,2,9
2025-06-01,12,qi_direct_baseline,LONG,2.70928030303,2,8,37,2.70928030303,2,8,37
2025-06-01,12,qi_direct_baseline,SHORT,2.55306666667,1,8,29,2.55306666667,1,8,29
2025-06-01,12,lightgbm_qi_ofi,LONG,1.4169550173,1,3,8,1.4169550173,1,3,8
2025-06-01,12,lightgbm_qi_ofi,SHORT,1.44871794872,1,3,9,1.44871794872,1,3,9
2025-06-01,12,lightgbm_extended,LONG,1.14170506912,1,2,6,1.14170506912,1,2,6
2025-06-01,12,lightgbm_extended,SHORT,1.21573301549,1,2,8,1.21573301549,1,2,8
2025-07-01,13,qi_direct_baseline,LONG,2.78803905614,2,8,97,2.78803905614,2,8,97
2025-07-01,13,qi_direct_baseline,SHORT,3.6004842615,2,12,100,3.6004842615,2,12,100
