date,model,latency_ms,terminal_position,terminal_notional_exposure,terminal_mark_shock_bps,terminal_equity_delta,shocked_terminal_equity
2024-07-01,lightgbm_extended,0,11.957668360736466,752137.280101982,-10.0,-752.1372801019819,-4382.4016101825755
2024-07-01,lightgbm_extended,0,11.957668360736466,752137.280101982,-5.0,-376.06864005099095,-4006.3329701315847
2024-07-01,lightgbm_extended,0,11.957668360736466,752137.280101982,0.0,0.0,-3630.264330080594
2024-07-01,lightgbm_extended,0,11.957668360736466,752137.280101982,5.0,376.06864005099095,-3254.195690029603
2024-07-01,lightgbm_extended,0,11.957668360736466,752137.280101982,10.0,752.1372801019819,-2878.127049978612
2024-07-01,lightgbm_extended,100,7.732312207016806,486362.39915979607,-10.0,-486.3623991597961,-3058.191092188219
2024-07-01,lightgbm_extended,100,7.732312207016806,486362.39915979607,-5.0,-243.18119957989805,-2815.009892608321
2024-07-01,lightgbm_extended,100,7.732312207016806,486362.39915979607,0.0,0.0,-2571.828693028423
2024-07-01,lightgbm_extended,100,7.732312207016806,486362.39915979607,5.0,243.18119957989805,-2328.647493448525
2024-07-01,lightgbm_extended,100,7.732312207016806,486362.39915979607,10.0,486.3623991597961,-2085.466293868627
2024-07-01,lightgbm_qi_ofi,0,9.130302156076135,574295.9599656782,-10.0,-574.2959599656781,-3654.8033960209023
2024-07-01,lightgbm_qi_ofi,0,9.130302156076135,574295.9599656782,-5.0,-287.14797998283905,-3367.6554160380633
2024-07-01,lightgbm_qi_ofi,0,9.130302156076135,574295.9599656782,0.0,0.0,-3080.5074360552244
2024-07-01,lightgbm_qi_ofi,0,9.130302156076135,574295.9599656782,5.0,287.14797998283905,-2793.3594560723855
2024-07-01,lightgbm_qi_ofi,0,9.130302156076135,574295.9599656782,10.0,574.2959599656781,-2506.2114760895465
2024-07-01,lightgbm_qi_ofi,100,5.819067941774399,366019.34444227,-10.0,-366.01934444227,-2544.2825699169557
2024-07-01,lightgbm_qi_ofi,100,5.819067941774399,366019.34444227,-5.0,-183.009672221135,-2361.272897695821
2024-07-01,lightgbm_qi_ofi,100,5.819067941774399,366019.34444227,0.0,0.0,-2178.263225474686
2024-07-01,lightgbm_qi_ofi,100,5.819067941774399,366019.34444227,5.0,183.009672221135,-1995.253553253551
2024-07-01,lightgbm_qi_ofi,100,5.819067941774399,366019.34444227,10.0,366.01934444227,-1812.2438810324159
2024-07-01,qi_direct_baseline,0,1.943989932014357,122276.9570037534,-10.0,-122.2769570037534,-1158.189546904691
2024-07-01,qi_direct_baseline,0,1.943989932014357,122276.9570037534,-5.0,-61.1384785018767,-1097.0510684028145
2024-07-01,qi_direct_baseline,0,1.943989932014357,122276.9570037534,0.0,0.0,-1035.9125899009377
2024-07-01,qi_direct_baseline,0,1.943989932014357,122276.9570037534,5.0,61.1384785018767,-974.7741113990611
2024-07-01,qi_direct_baseline,0,1.943989932014357,122276.9570037534,10.0,122.2769570037534,-913.6356328971843
2024-07-01,qi_direct_baseline,100,3.204774389905958,201580.29310121282,-10.0,-201.58029310121282,-50.024799496151616
2024-07-01,qi_direct_baseline,100,3.204774389905958,201580.29310121282,-5.0,-100.79014655060641,50.76534705445479
2024-07-01,qi_direct_baseline,100,3.204774389905958,201580.29310121282,0.0,0.0,151.5554936050612
2024-07-01,qi_direct_baseline,100,3.204774389905958,201580.29310121282,5.0,100.79014655060641,252.3456401556676
2024-07-01,qi_direct_baseline,100,3.204774389905958,201580.29310121282,10.0,201.58029310121282,353.135786706274
2025-01-01,lightgbm_extended,0,-0.16219182619007652,-15342.014351729087,-10.0,15.342014351729087,-1076.9684750289484
2025-01-01,lightgbm_extended,0,-0.16219182619007652,-15342.014351729087,-5.0,7.671007175864544,-1084.639482204813
2025-01-01,lightgbm_extended,0,-0.16219182619007652,-15342.014351729087,0.0,-0.0,-1092.3104893806776
2025-01-01,lightgbm_extended,0,-0.16219182619007652,-15342.014351729087,5.0,-7.671007175864544,-1099.9814965565422
2025-01-01,lightgbm_extended,0,-0.16219182619007652,-15342.014351729087,10.0,-15.342014351729087,-1107.6525037324068
2025-01-01,lightgbm_extended,100,0.34329341910002414,32472.73729142438,-10.0,-32.47273729142438,-1173.8478029935218
2025-01-01,lightgbm_extended,100,0.34329341910002414,32472.73729142438,-5.0,-16.23636864571219,-1157.6114343478096
2025-01-01,lightgbm_extended,100,0.34329341910002414,32472.73729142438,0.0,0.0,-1141.3750657020973
2025-01-01,lightgbm_extended,100,0.34329341910002414,32472.73729142438,5.0,16.23636864571219,-1125.1386970563851
2025-01-01,lightgbm_extended,100,0.34329341910002414,32472.73729142438,10.0,32.47273729142438,-1108.902328410673
2025-01-01,lightgbm_qi_ofi,0,-0.984828404453249,-93156.67669593477,-10.0,93.15667669593478,-1691.5382001862256
2025-01-01,lightgbm_qi_ofi,0,-0.984828404453249,-93156.67669593477,-5.0,46.57833834796739,-1738.1165385341928
2025-01-01,lightgbm_qi_ofi,0,-0.984828404453249,-93156.67669593477,0.0,-0.0,-1784.6948768821603
2025-01-01,lightgbm_qi_ofi,0,-0.984828404453249,-93156.67669593477,5.0,-46.57833834796739,-1831.2732152301278
2025-01-01,lightgbm_qi_ofi,0,-0.984828404453249,-93156.67669593477,10.0,-93.15667669593478,-1877.851553578095
2025-01-01,lightgbm_qi_ofi,100,-1.9073219046189247,-180416.98352750385,-10.0,180.41698352750387,-2707.293875676673
