date,model,latency_ms,gross_pnl,turnover,breakeven_fee_bps,breakeven_fee_status,breakeven_gt_0_10bps,breakeven_gt_0_25bps,breakeven_gt_0_50bps,mean_breakeven_fee_bps,median_breakeven_fee_bps,min_breakeven_fee_bps,max_breakeven_fee_bps,fraction_dates_gt_0_10bps,fraction_dates_gt_0_25bps,fraction_dates_gt_0_50bps
2024-07-01,lightgbm_extended,0,5720.895120207824,206518401.8921641,0.27701624009249565,DEFINED,True,True,False,0.652276655567783,0.514738427378794,0.27701624009249565,1.3026135274210482,0.6666666666666666,0.6666666666666666,0.3333333333333333
2024-07-01,lightgbm_extended,100,5264.311049242642,206446116.54784513,0.2549968552216678,DEFINED,True,True,False,0.6076137926256326,0.5742593148310793,0.2549968552216678,0.9935852078241508,0.5,0.5,0.3333333333333333
2024-07-01,lightgbm_qi_ofi,0,5550.258410920898,219850080.70557386,0.2524565100503137,DEFINED,True,True,False,0.48583399421977363,0.37574389409658504,0.08964911945717492,1.1021990692287496,0.5,0.5,0.16666666666666666
2024-07-01,lightgbm_qi_ofi,100,5323.436535794204,219792552.9203605,0.24220277097937412,DEFINED,True,False,False,0.5347491403636204,0.5146582088113223,0.24220277097937412,0.8473864413001648,0.5,0.3333333333333333,0.3333333333333333
2024-07-01,qi_direct_baseline,0,5374.277072860903,142876210.0156418,0.3761491904266314,DEFINED,True,True,False,0.6871838809921099,0.4396471430507534,0.11573235361025967,1.753708884256673,0.6666666666666666,0.5,0.3333333333333333
2024-07-01,qi_direct_baseline,100,5177.823381225753,142879876.99890685,0.3623899663117268,DEFINED,True,True,False,0.5879162499758971,0.33486633814223865,0.2976762623403122,1.3842560612787989,0.6666666666666666,0.6666666666666666,0.16666666666666666
2024-10-01,lightgbm_extended,0,17156.80252928892,259912423.33918598,0.6600993638114511,DEFINED,True,True,True,0.652276655567783,0.514738427378794,0.27701624009249565,1.3026135274210482,0.6666666666666666,0.6666666666666666,0.3333333333333333
2024-10-01,lightgbm_extended,100,15011.263814306585,261402182.3698621,0.5742593148310793,DEFINED,True,True,True,0.6076137926256326,0.5742593148310793,0.2549968552216678,0.9935852078241508,0.5,0.5,0.3333333333333333
2024-10-01,lightgbm_qi_ofi,0,12402.324967577122,248528008.37920108,0.4990312781428563,DEFINED,True,True,False,0.48583399421977363,0.37574389409658504,0.08964911945717492,1.1021990692287496,0.5,0.5,0.16666666666666666
2024-10-01,lightgbm_qi_ofi,100,12855.255912406137,249782393.29160246,0.5146582088113223,DEFINED,True,True,True,0.5347491403636204,0.5146582088113223,0.24220277097937412,0.8473864413001648,0.5,0.3333333333333333,0.3333333333333333
2024-10-01,qi_direct_baseline,0,2188.495434661447,189099708.62870592,0.11573235361025967,DEFINED,True,False,False,0.6871838809921099,0.4396471430507534,0.11573235361025967,1.753708884256673,0.6666666666666666,0.5,0.3333333333333333
2024-10-01,qi_direct_baseline,100,5708.367091228545,191764269.22152674,0.2976762623403122,DEFINED,True,True,False,0.5879162499758971,0.33486633814223865,0.2976762623403122,1.3842560612787989,0.6666666666666666,0.6666666666666666,0.16666666666666666
2025-01-01,lightgbm_extended,0,16353.482724197209,125543627.33031267,1.3026135274210482,DEFINED,True,True,True,0.652276655567783,0.514738427378794,0.27701624009249565,1.3026135274210482,0.6666666666666666,0.6666666666666666,0.3333333333333333
2025-01-01,lightgbm_extended,100,12622.228759115096,127037204.85892172,0.9935852078241508,DEFINED,True,True,True,0.6076137926256326,0.5742593148310793,0.2549968552216678,0.9935852078241508,0.5,0.5,0.3333333333333333
2025-01-01,lightgbm_qi_ofi,0,15225.412189364899,138136681.6070594,1.1021990692287496,DEFINED,True,True,True,0.48583399421977363,0.37574389409658504,0.08964911945717492,1.1021990692287496,0.5,0.5,0.16666666666666666
2025-01-01,lightgbm_qi_ofi,100,11837.65847015893,139696104.318074,0.8473864413001648,DEFINED,True,True,True,0.5347491403636204,0.5146582088113223,0.24220277097937412,0.8473864413001648,0.5,0.3333333333333333,0.3333333333333333
2025-01-01,qi_direct_baseline,0,18677.895135791507,106505106.42596371,1.753708884256673,DEFINED,True,True,True,0.6871838809921099,0.4396471430507534,0.11573235361025967,1.753708884256673,0.6666666666666666,0.5,0.3333333333333333
2025-01-01,qi_direct_baseline,100,14986.992549924646,108267487.27456833,1.3842560612787989,DEFINED,True,True,True,0.5879162499758971,0.33486633814223865,0.2976762623403122,1.3842560612787989,0.6666666666666666,0.6666666666666666,0.16666666666666666
2025-04-01,lightgbm_extended,0,-21611.364845487755,237964479.61625066,,ALREADY_NEGATIVE,False,False,False,0.652276655567783,0.514738427378794,0.27701624009249565,1.3026135274210482,0.6666666666666666,0.6666666666666666,0.3333333333333333
2025-04-01,lightgbm_extended,100,-18284.473630914697,240781251.76559898,,ALREADY_NEGATIVE,False,False,False,0.6076137926256326,0.5742593148310793,0.2549968552216678,0.9935852078241508,0.5,0.5,0.3333333333333333
2025-04-01,lightgbm_qi_ofi,0,-18371.7177469898,257920454.736567,,ALREADY_NEGATIVE,False,False,False,0.48583399421977363,0.37574389409658504,0.08964911945717492,1.1021990692287496,0.5,0.5,0.16666666666666666
2025-04-01,lightgbm_qi_ofi,100,-20926.564176649554,260311933.9848068,,ALREADY_NEGATIVE,False,False,False,0.5347491403636204,0.5146582088113223,0.24220277097937412,0.8473864413001648,0.5,0.3333333333333333,0.3333333333333333
2025-04-01,qi_direct_baseline,0,-3509.0467533484334,187349831.20366067,,ALREADY_NEGATIVE,False,False,False,0.6871838809921099,0.4396471430507534,0.11573235361025967,1.753708884256673,0.6666666666666666,0.5,0.3333333333333333
2025-04-01,qi_direct_baseline,100,-7865.57103297743,191441154.0330505,,ALREADY_NEGATIVE,False,False,False,0.5879162499758971,0.33486633814223865,0.2976762623403122,1.3842560612787989,0.6666666666666666,0.6666666666666666,0.16666666666666666
2025-07-01,lightgbm_extended,0,-10117.172352166614,65694995.58474938,,ALREADY_NEGATIVE,False,False,False,0.652276655567783,0.514738427378794,0.27701624009249565,1.3026135274210482,0.6666666666666666,0.6666666666666666,0.3333333333333333
2025-07-01,lightgbm_extended,100,-10361.25623888243,67972010.2888114,,ALREADY_NEGATIVE,False,False,False,0.6076137926256326,0.5742593148310793,0.2549968552216678,0.9935852078241508,0.5,0.5,0.3333333333333333
2025-07-01,lightgbm_qi_ofi,0,-3753.3010590487393,128453465.52222216,,ALREADY_NEGATIVE,False,False,False,0.48583399421977363,0.37574389409658504,0.08964911945717492,1.1021990692287496,0.5,0.5,0.16666666666666666
2025-07-01,lightgbm_qi_ofi,100,-4622.527105158195,129500450.0228136,,ALREADY_NEGATIVE,False,False,False,0.5347491403636204,0.5146582088113223,0.24220277097937412,0.8473864413001648,0.5,0.3333333333333333,0.3333333333333333
2025-07-01,qi_direct_baseline,0,4804.077346514969,95480953.46276195,0.5031450956748754,DEFINED,True,True,True,0.6871838809921099,0.4396471430507534,0.11573235361025967,1.753708884256673,0.6666666666666666,0.5,0.3333333333333333
2025-07-01,qi_direct_baseline,100,2967.422430195409,96550929.43178989,0.3073427099727504,DEFINED,True,True,False,0.5879162499758971,0.33486633814223865,0.2976762623403122,1.3842560612787989,0.6666666666666666,0.6666666666666666,0.16666666666666666
