date,model,gross_pnl_0ms,gross_pnl_100ms,gross_pnl_erosion,gross_bps_0ms,gross_bps_100ms,gross_bps_erosion,latency_worsened,latency_improved
2024-07-01,lightgbm_extended,5720.895120207824,5264.311049242642,456.58407096518204,0.27701624009249565,0.2549968552216678,0.02201938487082783,True,False
2024-07-01,lightgbm_qi_ofi,5550.258410920898,5323.436535794204,226.82187512669407,0.2524565100503137,0.24220277097937412,0.0102537390709396,True,False
2024-07-01,qi_direct_baseline,5374.277072860903,5177.823381225753,196.45369163514988,0.3761491904266314,0.3623899663117268,0.0137592241149046,True,False
2024-10-01,lightgbm_extended,17156.80252928892,15011.263814306585,2145.5387149823364,0.6600993638114511,0.5742593148310793,0.08584004898037179,True,False
2024-10-01,lightgbm_qi_ofi,12402.324967577122,12855.255912406137,-452.93094482901506,0.4990312781428563,0.5146582088113223,-0.015626930668465988,False,True
2024-10-01,qi_direct_baseline,2188.495434661447,5708.367091228545,-3519.8716565670984,0.11573235361025967,0.2976762623403122,-0.1819439087300525,False,True
2025-01-01,lightgbm_extended,16353.482724197209,12622.228759115096,3731.2539650821127,1.3026135274210482,0.9935852078241508,0.30902831959689736,True,False
2025-01-01,lightgbm_qi_ofi,15225.412189364899,11837.65847015893,3387.753719205968,1.1021990692287496,0.8473864413001648,0.2548126279285847,True,False
2025-01-01,qi_direct_baseline,18677.895135791507,14986.992549924646,3690.902585866861,1.753708884256673,1.3842560612787989,0.3694528229778742,True,False
2025-04-01,lightgbm_extended,-21611.364845487755,-18284.473630914697,-3326.8912145730574,-0.9081760807469649,-0.7593811186227517,-0.14879496212421317,False,True
2025-04-01,lightgbm_qi_ofi,-18371.7177469898,-20926.564176649554,2554.846429659752,-0.7123016964960837,-0.8039033730151972,0.09160167651911355,True,False
2025-04-01,qi_direct_baseline,-3509.0467533484334,-7865.57103297743,4356.524279628997,-0.187299168128627,-0.41086103313081335,0.22356186500218633,True,False
2025-07-01,lightgbm_extended,-10117.172352166614,-10361.25623888243,244.08388671581633,-1.5400217721477771,-1.5243415922021,-0.015680179945677164,True,False
2025-07-01,lightgbm_qi_ofi,-3753.3010590487393,-4622.527105158195,869.2260461094556,-0.29219149859366206,-0.35695065958024563,0.06475916098658357,True,False
2025-07-01,qi_direct_baseline,4804.077346514969,2967.422430195409,1836.6549163195596,0.5031450956748754,0.3073427099727504,0.195802385702125,True,False
2025-10-01,lightgbm_extended,4833.7513141795935,-3852.958136379486,8686.70945055908,0.369377490946137,-0.2915802287038908,0.6609577196500278,True,False
2025-10-01,lightgbm_qi_ofi,1485.0771743346704,-7821.640832849895,9306.718007184565,0.08964911945717492,-0.4684976024366406,0.5581467218938155,True,False
2025-10-01,qi_direct_baseline,-5740.620200856822,-10915.939556680969,5175.319355824147,-0.591514762426816,-1.099967791071949,0.508453028645133,True,False
