date,model,mode,latency_ms,parent_orders,fills,filled_parent_orders,fill_rate,turnover,gross_pnl,gross_pnl_bps_of_turnover,terminal_position,terminal_notional_exposure,max_inventory,mean_implementation_shortfall,mean_levels_consumed,full_fills,partial_fills,expired_or_no_fill,mean_fill_fraction,maker_fill_count,taker_on_arrival_count,average_signed_markout_100ms,average_signed_markout_500ms,average_signed_markout_1000ms,average_signed_markout_5000ms,queue_fraction,ttl_ms
2024-07-01,lightgbm_extended,passive,0,20465,9501,633,0.030930857561690693,4866605.998529209,-3630.264330080594,-7.459540244634015,11.957668360736466,752137.280101982,11.957668360736466,-1.9750778566219973e-07,0.0,390,243,19832,0.023682415223913997,9501,0,-8.853923819075048e-05,-0.00010300249237838641,-0.00010995416381369382,-0.00014437388197153765,1.0,1000
2024-07-01,lightgbm_extended,passive,100,20465,10911,778,0.03801612509161984,6234185.619222174,-2571.828693028423,-4.125364322003143,7.732312207016806,486362.39915979607,7.821530552968911,-8.409320521833261e-07,0.005521622281944784,520,258,19687,0.03036492513370315,10798,113,-8.624031028703795e-05,-0.00010239381380745542,-0.00010997019695218208,-0.00014979489708356197,1.0,1000
2024-07-01,lightgbm_qi_ofi,passive,0,21789,12060,793,0.03639451099178485,6125189.791964068,-3080.5074360552244,-5.029244057215486,9.130302156076135,574295.9599656782,10.06877227302567,-3.4183513970957855e-07,0.0,497,296,20996,0.028111386227098304,12060,0,-9.322343980259134e-05,-0.00010873946625068069,-0.00011684898244945549,-0.00015091894030667703,1.0,1000
2024-07-01,lightgbm_qi_ofi,passive,100,21789,12748,988,0.04534398090779751,8031909.703807328,-2178.263225474686,-2.712011595999559,5.819067941774399,366019.34444227,7.021528248729046,-1.1539556554697e-06,0.00899536463353068,685,303,20801,0.03686223902300702,12552,196,-8.61329387292434e-05,-0.00010137862400062468,-0.00011011667748482327,-0.00015148806561746244,1.0,1000
2024-07-01,qi_direct_baseline,passive,0,14240,1972,210,0.014747191011235955,1879536.6388541388,-1035.9125899009377,-5.511531770577682,1.943989932014357,122276.9570037534,3.6595463441971856,-2.0118706247781496e-06,0.0,172,38,14030,0.013128770964257372,1972,0,-0.00014105230024999424,-0.00015450348990506962,-0.0001528900626330091,-0.00011454134612318728,1.0,1000
2024-07-01,qi_direct_baseline,passive,100,14240,2815,336,0.02359550561797753,3023648.8893636637,151.5554936050612,0.5012337713488835,3.204774389905958,201580.29310121282,3.7069910927698375,-3.883156911046472e-06,0.007092696629213483,278,58,13904,0.02116323707953792,2714,101,-0.00013767096596692502,-0.0001599663576247513,-0.00016111101548255477,-0.0001700897346064218,1.0,1000
2025-01-01,lightgbm_extended,passive,0,14389,28705,732,0.050872194037111684,4599571.915157143,-1092.3104893806776,-2.374809024685853,-0.16219182619007652,-15342.014351729087,2.705306142506031,-9.141276683629719e-08,0.0,348,384,13657,0.03196589046495034,28705,0,-7.498971429886283e-05,-9.62858609848643e-05,-0.0001068245554850144,-0.00014846482374168687,1.0,1000
2025-01-01,lightgbm_extended,passive,100,14389,30150,813,0.056501494196956006,5443977.257953488,-1141.3750657020973,-2.096583089201158,0.34329341910002414,32472.73729142438,2.3748674090877118,-1.858103121586592e-07,0.004934324831468483,423,390,13576,0.0376952327346991,30079,71,-7.916492529474793e-05,-0.00010295848502270742,-0.00011477553116790953,-0.00014905843653542728,1.0,1000
2025-01-01,lightgbm_qi_ofi,passive,0,15712,31853,797,0.05072556008146639,5334994.405102101,-1784.6948768821603,-3.3452610094124453,-0.984828404453249,-93156.67669593477,3.0927192743999212,-9.650005524072495e-08,0.0,410,387,14915,0.03395489769016328,31853,0,-7.745702633245161e-05,-9.875219441022218e-05,-0.00011006698409967634,-0.0001553938897334703,1.0,1000
2025-01-01,lightgbm_qi_ofi,passive,100,15712,32231,931,0.0592540733197556,6713333.362610938,-2887.710859204177,-4.301456077374196,-1.9073219046189247,-180416.98352750385,4.94041146065216,-2.716407889124228e-07,0.00980142566191446,548,383,14781,0.042663689546106824,32077,154,-8.08259837078825e-05,-0.00010458464531274631,-0.00011782936542679832,-0.0001557776389172132,1.0,1000
