date,model,mode,latency_ms,parent_orders,fills,filled_parent_orders,fill_rate,turnover,gross_pnl,gross_pnl_bps_of_turnover,terminal_position,terminal_notional_exposure,max_inventory,mean_implementation_shortfall,mean_levels_consumed,full_fills,partial_fills,expired_or_no_fill,mean_fill_fraction,maker_fill_count,taker_on_arrival_count,average_signed_markout_100ms,average_signed_markout_500ms,average_signed_markout_1000ms,average_signed_markout_5000ms,fee_bps,fee_quote,net_pnl,net_pnl_bps_of_turnover
2024-07-01,lightgbm_extended,market,0,20465,27069,20465,1.0,206518401.8921641,5720.895120207824,0.27701624009249565,-0.6942487613772562,-43668.24361938561,1.3794587327395869,5.607924162474779e-06,1.322697288052773,20400,65,0,,0,0,-1.1470008889870075e-06,7.897819286336045e-06,1.320663130130423e-05,3.317290279233343e-05,0.0,0.0,5720.895120207824,0.27701624009249565
2024-07-01,lightgbm_extended,market,0,20465,27069,20465,1.0,206518401.8921641,5720.895120207824,0.27701624009249565,-0.6942487613772562,-43668.24361938561,1.3794587327395869,5.607924162474779e-06,1.322697288052773,20400,65,0,,0,0,-1.1470008889870075e-06,7.897819286336045e-06,1.320663130130423e-05,3.317290279233343e-05,0.25,5162.960047304103,557.9350729037214,0.027016240092495654
2024-07-01,lightgbm_extended,market,0,20465,27069,20465,1.0,206518401.8921641,5720.895120207824,0.27701624009249565,-0.6942487613772562,-43668.24361938561,1.3794587327395869,5.607924162474779e-06,1.322697288052773,20400,65,0,,0,0,-1.1470008889870075e-06,7.897819286336045e-06,1.320663130130423e-05,3.317290279233343e-05,0.5,10325.920094608206,-4605.024974400381,-0.22298375990750435
2024-07-01,lightgbm_extended,market,100,20465,26748,20465,1.0,206446116.54784513,5264.311049242642,0.2549968552216678,0.377227744490664,23727.623242324044,1.122375204048606,9.781072581593323e-06,1.30701197165893,20391,74,0,,0,0,-1.4886084743443497e-06,6.145851472076692e-06,1.1143525326177007e-05,3.216281443944474e-05,0.0,0.0,5264.311049242642,0.2549968552216678
2024-07-01,lightgbm_extended,market,100,20465,26748,20465,1.0,206446116.54784513,5264.311049242642,0.2549968552216678,0.377227744490664,23727.623242324044,1.122375204048606,9.781072581593323e-06,1.30701197165893,20391,74,0,,0,0,-1.4886084743443497e-06,6.145851472076692e-06,1.1143525326177007e-05,3.216281443944474e-05,0.25,5161.152913696128,103.15813554651413,0.0049968552216678105
2024-07-01,lightgbm_extended,market,100,20465,26748,20465,1.0,206446116.54784513,5264.311049242642,0.2549968552216678,0.377227744490664,23727.623242324044,1.122375204048606,9.781072581593323e-06,1.30701197165893,20391,74,0,,0,0,-1.4886084743443497e-06,6.145851472076692e-06,1.1143525326177007e-05,3.216281443944474e-05,0.5,10322.305827392256,-5057.994778149614,-0.24500314477833218
2024-07-01,lightgbm_qi_ofi,market,0,21789,28164,21789,1.0,219850080.70557386,5550.258410920898,0.2524565100503137,-0.725700247928128,-45646.54196617802,1.329395406760148,5.1850238244400755e-06,1.2925788241773373,21725,64,0,,0,0,-1.1746693451358321e-06,7.1725650179540575e-06,1.2107392735846244e-05,3.050569239677974e-05,0.0,0.0,5550.258410920898,0.2524565100503137
2024-07-01,lightgbm_qi_ofi,market,0,21789,28164,21789,1.0,219850080.70557386,5550.258410920898,0.2524565100503137,-0.725700247928128,-45646.54196617802,1.329395406760148,5.1850238244400755e-06,1.2925788241773373,21725,64,0,,0,0,-1.1746693451358321e-06,7.1725650179540575e-06,1.2107392735846244e-05,3.050569239677974e-05,0.25,5496.252017639346,54.00639328155194,0.002456510050313696
2024-07-01,lightgbm_qi_ofi,market,0,21789,28164,21789,1.0,219850080.70557386,5550.258410920898,0.2524565100503137,-0.725700247928128,-45646.54196617802,1.329395406760148,5.1850238244400755e-06,1.2925788241773373,21725,64,0,,0,0,-1.1746693451358321e-06,7.1725650179540575e-06,1.2107392735846244e-05,3.050569239677974e-05,0.5,10992.504035278693,-5442.245624357794,-0.2475434899496863
2024-07-01,lightgbm_qi_ofi,market,100,21789,27845,21789,1.0,219792552.9203605,5323.436535794204,0.24220277097937412,0.27474928740704657,17281.72880415679,1.0910820224602424,8.28691755766168e-06,1.2779384092890909,21718,71,0,,0,0,-1.232820901249429e-06,5.668770363884431e-06,1.0610174536886874e-05,3.057063869364893e-05,0.0,0.0,5323.436535794204,0.24220277097937412
2024-07-01,lightgbm_qi_ofi,market,100,21789,27845,21789,1.0,219792552.9203605,5323.436535794204,0.24220277097937412,0.27474928740704657,17281.72880415679,1.0910820224602424,8.28691755766168e-06,1.2779384092890909,21718,71,0,,0,0,-1.232820901249429e-06,5.668770363884431e-06,1.0610174536886874e-05,3.057063869364893e-05,0.25,5494.813823009013,-171.37728721480835,-0.007797229020625875
2024-07-01,lightgbm_qi_ofi,market,100,21789,27845,21789,1.0,219792552.9203605,5323.436535794204,0.24220277097937412,0.27474928740704657,17281.72880415679,1.0910820224602424,8.28691755766168e-06,1.2779384092890909,21718,71,0,,0,0,-1.232820901249429e-06,5.668770363884431e-06,1.0610174536886874e-05,3.057063869364893e-05,0.5,10989.627646018025,-5666.191110223821,-0.25779722902062585
2024-07-01,qi_direct_baseline,market,0,14240,20117,14240,1.0,142876210.0156418,5374.277072860903,0.3761491904266314,-1.339746468426229,-84270.04616527747,1.870617457951455,6.77987427046345e-06,1.4127106741573034,14179,61,0,,0,0,-1.088351731772336e-06,1.0535309514301707e-05,1.7416548354535208e-05,3.987896339199093e-05,0.0,0.0,5374.277072860903,0.3761491904266314
2024-07-01,qi_direct_baseline,market,0,14240,20117,14240,1.0,142876210.0156418,5374.277072860903,0.3761491904266314,-1.339746468426229,-84270.04616527747,1.870617457951455,6.77987427046345e-06,1.4127106741573034,14179,61,0,,0,0,-1.088351731772336e-06,1.0535309514301707e-05,1.7416548354535208e-05,3.987896339199093e-05,0.25,3571.9052503910452,1802.3718224698578,0.1261491904266314
2024-07-01,qi_direct_baseline,market,0,14240,20117,14240,1.0,142876210.0156418,5374.277072860903,0.3761491904266314,-1.339746468426229,-84270.04616527747,1.870617457951455,6.77987427046345e-06,1.4127106741573034,14179,61,0,,0,0,-1.088351731772336e-06,1.0535309514301707e-05,1.7416548354535208e-05,3.987896339199093e-05,0.5,7143.8105007820905,-1769.5334279211875,-0.12385080957336861
2024-07-01,qi_direct_baseline,market,100,14240,19442,14240,1.0,142879876.99890685,5177.823381225753,0.3623899663117268,-1.0555631291189436,-66394.9155437659,1.4173807561822744,1.0472018849959377e-05,1.365308988764045,14179,61,0,,0,0,-1.4636148382271684e-06,8.306334117852412e-06,1.5093855915862536e-05,3.933552109728859e-05,0.0,0.0,5177.823381225753,0.3623899663117268
2024-07-01,qi_direct_baseline,market,100,14240,19442,14240,1.0,142879876.99890685,5177.823381225753,0.3623899663117268,-1.0555631291189436,-66394.9155437659,1.4173807561822744,1.0472018849959377e-05,1.365308988764045,14179,61,0,,0,0,-1.4636148382271684e-06,8.306334117852412e-06,1.5093855915862536e-05,3.933552109728859e-05,0.25,3571.9969249726714,1605.8264562530817,0.11238996631172685
2024-07-01,qi_direct_baseline,market,100,14240,19442,14240,1.0,142879876.99890685,5177.823381225753,0.3623899663117268,-1.0555631291189436,-66394.9155437659,1.4173807561822744,1.0472018849959377e-05,1.365308988764045,14179,61,0,,0,0,-1.4636148382271684e-06,8.306334117852412e-06,1.5093855915862536e-05,3.933552109728859e-05,0.5,7143.993849945343,-1966.1704687195897,-0.13761003368827315
