date,latency_ms,comparison,left_model,right_model,fee_bps,delta_gross_pnl,delta_turnover,delta_gross_bps_per_turnover,delta_net_pnl
2024-07-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,346.61804734692123,63642191.8765223,-0.09913295033413577,-1244.4367495661363
2024-07-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,346.61804734692123,63642191.8765223,-0.09913295033413577,-2835.491546479194
2024-07-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,170.6367092869259,-13331678.813409746,0.024559730042181926,503.9286796221695
2024-07-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,170.6367092869259,-13331678.813409746,0.024559730042181926,837.2206499574131
2024-07-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,175.98133805999532,76973870.68993205,-0.1236926803763177,-1748.3654291883058
2024-07-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,175.98133805999532,76973870.68993205,-0.1236926803763177,-3672.712196436607
2024-07-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,86.48766801688907,63566239.548938274,-0.107393111090059,-1502.6683207065676
2024-07-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,86.48766801688907,63566239.548938274,-0.107393111090059,-3091.824309430024
2024-07-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,-59.12548655156206,-13346436.37251538,0.012794084242293696,274.5354227613225
2024-07-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,-59.12548655156206,-13346436.37251538,0.012794084242293696,608.196332074207
2024-07-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,145.61315456845114,76912675.92145365,-0.1201871953323527,-1777.20374346789
2024-07-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,145.61315456845114,76912675.92145365,-0.1201871953323527,-3700.020641504231
2024-10-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,14968.307094627475,70812714.71048006,0.5443670102011914,13197.989226865473
2024-10-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,14968.307094627475,70812714.71048006,0.5443670102011914,11427.671359103471
2024-10-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,4754.477561711799,11384414.959984899,0.16106808566859476,4469.867187712177
2024-10-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,4754.477561711799,11384414.959984899,0.16106808566859476,4185.2568137125545
2024-10-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,10213.829532915675,59428299.750495166,0.3832989245325966,8728.122039153295
2024-10-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,10213.829532915675,59428299.750495166,0.3832989245325966,7242.414545390917
2024-10-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,9302.89672307804,69637913.14833537,0.2765830524907671,7561.948894369655
2024-10-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,9302.89672307804,69637913.14833537,0.2765830524907671,5821.001065661272
2024-10-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,2156.007901900448,11619789.078259647,0.05960110601975699,1865.513174943956
2024-10-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,2156.007901900448,11619789.078259647,0.05960110601975699,1575.018447987466
2024-10-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,7146.888821177592,58018124.07007572,0.2169819464710101,5696.435719425699
2024-10-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,7146.888821177592,58018124.07007572,0.2169819464710101,4245.982617673806
2025-01-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,-2324.4124115942977,19038520.904348955,-0.45109535683562485,-2800.3754342030206
2025-01-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,-2324.4124115942977,19038520.904348955,-0.45109535683562485,-3276.3384568117453
2025-01-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,1128.07053483231,-12593054.27674672,0.20041445819229864,1442.8968917509774
2025-01-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,1128.07053483231,-12593054.27674672,0.20041445819229864,1757.7232486696448
2025-01-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,-3452.4829464266077,31631575.181095675,-0.6515098150279235,-4243.272325953998
2025-01-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,-3452.4829464266077,31631575.181095675,-0.6515098150279235,-5034.06170548139
2025-01-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,-2364.7637908095494,18769717.584353387,-0.390670853454648,-2834.006730418385
2025-01-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,-2364.7637908095494,18769717.584353387,-0.390670853454648,-3303.2496700272186
2025-01-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,784.5702889561653,-12658899.459152266,0.146198766523986,1101.0427754349712
2025-01-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,784.5702889561653,-12658899.459152266,0.146198766523986,1417.5152619137789
2025-01-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,-3149.3340797657147,31428617.043505654,-0.536869619978634,-3935.049505853356
2025-01-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,-3149.3340797657147,31428617.043505654,-0.536869619978634,-4720.7649319409975
2025-04-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,-18102.31809213932,50614648.41259,-0.7208769126183379,-19367.684302454072
2025-04-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,-18102.31809213932,50614648.41259,-0.7208769126183379,-20633.05051276882
2025-04-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,-3239.6470984979533,-19955975.120316327,-0.19587438425088122,-2740.7477204900424
2025-04-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,-3239.6470984979533,-19955975.120316327,-0.19587438425088122,-2241.8483424821316
2025-04-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,-14862.670993641368,70570623.53290632,-0.5250025283674566,-16626.93658196403
2025-04-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,-14862.670993641368,70570623.53290632,-0.5250025283674566,-18391.202170286688
2025-04-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,-10418.902597937267,49340097.732548475,-0.34852008549193836,-11652.405041250979
2025-04-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,-10418.902597937267,49340097.732548475,-0.34852008549193836,-12885.90748456469
2025-04-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,2642.0905457348563,-19530682.219207823,0.044522254392445504,3130.3576012150515
2025-04-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,2642.0905457348563,-19530682.219207823,0.044522254392445504,3618.624656695247
2025-04-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,-13060.993143672124,68870779.9517563,-0.39304233988438386,-14782.76264246603
2025-04-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,-13060.993143672124,68870779.9517563,-0.39304233988438386,-16504.532141259937
2025-07-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,-14921.249698681582,-29785957.878012575,-2.0431668678226527,-14176.600751731268
2025-07-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,-14921.249698681582,-29785957.878012575,-2.0431668678226527,-13431.951804780954
2025-07-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,-6363.871293117874,-62758469.93747278,-1.2478302735541151,-4794.909544681055
2025-07-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,-6363.871293117874,-62758469.93747278,-1.2478302735541151,-3225.9477962442343
2025-07-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,-8557.378405563708,32972512.059460208,-0.7953365942685375,-9381.691207050213
2025-07-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,-8557.378405563708,32972512.059460208,-0.7953365942685375,-10206.004008536718
2025-07-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,-13328.678669077839,-28578919.14297849,-1.8316843021748503,-12614.205690503379
2025-07-01,100,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,-13328.678669077839,-28578919.14297849,-1.8316843021748503,-11899.732711928915
2025-07-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,-5738.729133724235,-61528439.7340022,-1.1673909326218543,-4200.518140374181
2025-07-01,100,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,-5738.729133724235,-61528439.7340022,-1.1673909326218543,-2662.307147024125
2025-07-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,-7589.949535353604,32949520.591023713,-0.664293369552996,-8413.687550129198
2025-07-01,100,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.5,-7589.949535353604,32949520.591023713,-0.664293369552996,-9237.42556490479
2025-10-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.25,10574.371515036415,33812614.03233527,0.9608922533729529,9729.056164228034
2025-10-01,0,Extended_minus_QI,lightgbm_extended,qi_direct_baseline,0.5,10574.371515036415,33812614.03233527,0.9608922533729529,8883.740813419652
2025-10-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.25,3348.674139844923,-34792309.99186769,0.27972837148896207,4218.481889641615
2025-10-01,0,Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0.5,3348.674139844923,-34792309.99186769,0.27972837148896207,5088.289639438308
2025-10-01,0,QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,0.25,7225.697375191492,68604924.02420296,0.6811638818839909,5510.574274586418
