comparison,status,reference_hash,optimized_hash,details
phase5_reference_vs_optimized,PASS,d8503550c2d9c597f488a43bbf9c166f9673ce6db666dd6437b04e004ad4ffcf,d8503550c2d9c597f488a43bbf9c166f9673ce6db666dd6437b04e004ad4ffcf,exact feature CSV SHA-256 equality
phase3_deterministic_replay,PASS,cf2a800a27af5df8b279801638ae3f4c66004b1fd7162585c40581710c10b054,cf2a800a27af5df8b279801638ae3f4c66004b1fd7162585c40581710c10b054,book replay unchanged; repeated output hash equality
phase11_market_execution_deterministic,PASS,12c26a69b47fa408dd2d3ac6b297bebc9f4566ee1bf471e1284f382cdf7b854a,12c26a69b47fa408dd2d3ac6b297bebc9f4566ee1bf471e1284f382cdf7b854a,execution code unchanged; repeated artifact hash equality
phase11_passive_execution_deterministic,PASS,e647c4f9377be0d1ab85cbeab3af136c6ed814c8440c250ba28afba4aab45873,e647c4f9377be0d1ab85cbeab3af136c6ed814c8440c250ba28afba4aab45873,execution code unchanged; repeated artifact hash equality
