model,feature_set,date,spearman_ic,row_count
null_mean,qi_only,2025-01-01,,86399
null_mean,qi_only,2025-02-01,,86399
null_mean,qi_only,2025-03-01,,86396
null_mean,qi_only,2025-04-01,,86399
null_mean,qi_only,2025-05-01,,86399
null_mean,qi_only,2025-06-01,,86399
null_mean,qi_only,2025-07-01,,86393
null_mean,qi_only,2025-08-01,,86399
null_mean,qi_only,2025-09-01,,86393
null_mean,qi_only,2025-10-01,,86398
null_mean,qi_only,2025-11-01,,86398
null_mean,qi_only,2025-12-01,,86399
qi_linear,qi_only,2025-01-01,0.405693700165,86399
qi_linear,qi_only,2025-02-01,0.449520390579,86399
qi_linear,qi_only,2025-03-01,0.508338767833,86396
qi_linear,qi_only,2025-04-01,0.482116967734,86399
qi_linear,qi_only,2025-05-01,0.355270535097,86399
qi_linear,qi_only,2025-06-01,0.339597576062,86399
qi_linear,qi_only,2025-07-01,0.374680064321,86393
qi_linear,qi_only,2025-08-01,0.486873712364,86399
qi_linear,qi_only,2025-09-01,0.462156002446,86393
qi_linear,qi_only,2025-10-01,0.395767814054,86398
qi_linear,qi_only,2025-11-01,0.366418629795,86398
qi_linear,qi_only,2025-12-01,0.440659639074,86399
ridge,qi_only,2025-01-01,0.405693700165,86399
ridge,qi_only,2025-02-01,0.449520390579,86399
ridge,qi_only,2025-03-01,0.508338767833,86396
ridge,qi_only,2025-04-01,0.482116967734,86399
ridge,qi_only,2025-05-01,0.355270535097,86399
ridge,qi_only,2025-06-01,0.339597576062,86399
ridge,qi_only,2025-07-01,0.374680064321,86393
ridge,qi_only,2025-08-01,0.486873712364,86399
ridge,qi_only,2025-09-01,0.462156002446,86393
ridge,qi_only,2025-10-01,0.395767814054,86398
ridge,qi_only,2025-11-01,0.366418629795,86398
ridge,qi_only,2025-12-01,0.440659639074,86399
lightgbm_regression,qi_only,2025-01-01,0.405042712553,86399
lightgbm_regression,qi_only,2025-02-01,0.448456355628,86399
lightgbm_regression,qi_only,2025-03-01,0.507398360517,86396
lightgbm_regression,qi_only,2025-04-01,0.481690912264,86399
lightgbm_regression,qi_only,2025-05-01,0.355033979123,86399
lightgbm_regression,qi_only,2025-06-01,0.339424313294,86399
lightgbm_regression,qi_only,2025-07-01,0.374307361642,86393
lightgbm_regression,qi_only,2025-08-01,0.486415139741,86399
lightgbm_regression,qi_only,2025-09-01,0.461878389583,86393
lightgbm_regression,qi_only,2025-10-01,0.395518875371,86398
lightgbm_regression,qi_only,2025-11-01,0.365597798294,86398
lightgbm_regression,qi_only,2025-12-01,0.4399940947,86399
ridge,qi_ofi,2025-01-01,0.407327358045,86399
ridge,qi_ofi,2025-02-01,0.450563374734,86399
ridge,qi_ofi,2025-03-01,0.504698488027,86396
ridge,qi_ofi,2025-04-01,0.476011646127,86399
ridge,qi_ofi,2025-05-01,0.360308074891,86399
ridge,qi_ofi,2025-06-01,0.342824433379,86399
ridge,qi_ofi,2025-07-01,0.378895934418,86393
ridge,qi_ofi,2025-08-01,0.478529268028,86399
ridge,qi_ofi,2025-09-01,0.456285930788,86393
ridge,qi_ofi,2025-10-01,0.399376663672,86398
ridge,qi_ofi,2025-11-01,0.367559123353,86398
ridge,qi_ofi,2025-12-01,0.428035348921,86399
lightgbm_regression,qi_ofi,2025-01-01,0.409389087778,86399
lightgbm_regression,qi_ofi,2025-02-01,0.450634146014,86399
lightgbm_regression,qi_ofi,2025-03-01,0.510658941224,86396
lightgbm_regression,qi_ofi,2025-04-01,0.486763572856,86399
lightgbm_regression,qi_ofi,2025-05-01,0.365694571418,86399
lightgbm_regression,qi_ofi,2025-06-01,0.346273031341,86399
lightgbm_regression,qi_ofi,2025-07-01,0.38321753469,86393
lightgbm_regression,qi_ofi,2025-08-01,0.490653077431,86399
lightgbm_regression,qi_ofi,2025-09-01,0.467970285289,86393
lightgbm_regression,qi_ofi,2025-10-01,0.406032893766,86398
lightgbm_regression,qi_ofi,2025-11-01,0.368957759539,86398
lightgbm_regression,qi_ofi,2025-12-01,0.439020855629,86399
ridge,qi_trade_imbalance,2025-01-01,0.401074787562,86399
ridge,qi_trade_imbalance,2025-02-01,0.440167874632,86399
ridge,qi_trade_imbalance,2025-03-01,0.505110956502,86396
ridge,qi_trade_imbalance,2025-04-01,0.476700422517,86399
ridge,qi_trade_imbalance,2025-05-01,0.351628284654,86399
ridge,qi_trade_imbalance,2025-06-01,0.335931438346,86399
ridge,qi_trade_imbalance,2025-07-01,0.366364372391,86393
ridge,qi_trade_imbalance,2025-08-01,0.481728626685,86399
ridge,qi_trade_imbalance,2025-09-01,0.461552964075,86393
