date,model,mode,latency_ms,terminal_mark_shock_bps,terminal_equity_delta,shocked_terminal_equity
2024-07-01,lightgbm_extended,passive,0,-10.0,-752.1372801019819,-4382.4016101825755
2024-07-01,lightgbm_extended,passive,0,-5.0,-376.06864005099095,-4006.3329701315847
2024-07-01,lightgbm_extended,passive,0,0.0,0.0,-3630.264330080594
2024-07-01,lightgbm_extended,passive,0,5.0,376.06864005099095,-3254.195690029603
2024-07-01,lightgbm_extended,passive,0,10.0,752.1372801019819,-2878.127049978612
2024-07-01,lightgbm_extended,passive,10,-10.0,-716.1442438147601,-4061.099459293658
2024-07-01,lightgbm_extended,passive,10,-5.0,-358.07212190738005,-3703.0273373862783
2024-07-01,lightgbm_extended,passive,10,0.0,0.0,-3344.955215478898
2024-07-01,lightgbm_extended,passive,10,5.0,358.07212190738005,-2986.8830935715177
2024-07-01,lightgbm_extended,passive,10,10.0,716.1442438147601,-2628.810971664138
2024-07-01,lightgbm_extended,passive,100,-10.0,-486.3623991597961,-3058.191092188219
2024-07-01,lightgbm_extended,passive,100,-5.0,-243.18119957989805,-2815.009892608321
2024-07-01,lightgbm_extended,passive,100,0.0,0.0,-2571.828693028423
2024-07-01,lightgbm_extended,passive,100,5.0,243.18119957989805,-2328.647493448525
2024-07-01,lightgbm_extended,passive,100,10.0,486.3623991597961,-2085.466293868627
2024-07-01,lightgbm_extended,passive,250,-10.0,-651.4450440789019,-4091.7436535824468
2024-07-01,lightgbm_extended,passive,250,-5.0,-325.72252203945095,-3766.021131542996
2024-07-01,lightgbm_extended,passive,250,0.0,0.0,-3440.298609503545
2024-07-01,lightgbm_extended,passive,250,5.0,325.72252203945095,-3114.5760874640937
2024-07-01,lightgbm_extended,passive,250,10.0,651.4450440789019,-2788.853565424643
2024-07-01,lightgbm_extended,passive,50,-10.0,-657.1274000104381,-4006.950429489217
2024-07-01,lightgbm_extended,passive,50,-5.0,-328.56370000521906,-3678.3867294839984
2024-07-01,lightgbm_extended,passive,50,0.0,0.0,-3349.823029478779
2024-07-01,lightgbm_extended,passive,50,5.0,328.56370000521906,-3021.25932947356
2024-07-01,lightgbm_extended,passive,50,10.0,657.1274000104381,-2692.695629468341
2024-07-01,lightgbm_qi_ofi,passive,0,-10.0,-574.2959599656781,-3654.8033960209023
2024-07-01,lightgbm_qi_ofi,passive,0,-5.0,-287.14797998283905,-3367.6554160380633
2024-07-01,lightgbm_qi_ofi,passive,0,0.0,0.0,-3080.5074360552244
2024-07-01,lightgbm_qi_ofi,passive,0,5.0,287.14797998283905,-2793.3594560723855
2024-07-01,lightgbm_qi_ofi,passive,0,10.0,574.2959599656781,-2506.2114760895465
2024-07-01,lightgbm_qi_ofi,passive,10,-10.0,-550.0723536593655,-3291.748723610472
2024-07-01,lightgbm_qi_ofi,passive,10,-5.0,-275.03617682968274,-3016.712546780789
2024-07-01,lightgbm_qi_ofi,passive,10,0.0,0.0,-2741.6763699511066
2024-07-01,lightgbm_qi_ofi,passive,10,5.0,275.03617682968274,-2466.640193121424
2024-07-01,lightgbm_qi_ofi,passive,10,10.0,550.0723536593655,-2191.604016291741
2024-07-01,lightgbm_qi_ofi,passive,100,-10.0,-366.01934444227,-2544.2825699169557
2024-07-01,lightgbm_qi_ofi,passive,100,-5.0,-183.009672221135,-2361.272897695821
2024-07-01,lightgbm_qi_ofi,passive,100,0.0,0.0,-2178.263225474686
2024-07-01,lightgbm_qi_ofi,passive,100,5.0,183.009672221135,-1995.253553253551
2024-07-01,lightgbm_qi_ofi,passive,100,10.0,366.01934444227,-1812.2438810324159
2024-07-01,lightgbm_qi_ofi,passive,250,-10.0,-329.27064133713213,-2678.263169507654
2024-07-01,lightgbm_qi_ofi,passive,250,-5.0,-164.63532066856607,-2513.627848839088
2024-07-01,lightgbm_qi_ofi,passive,250,0.0,0.0,-2348.992528170522
2024-07-01,lightgbm_qi_ofi,passive,250,5.0,164.63532066856607,-2184.3572075019556
2024-07-01,lightgbm_qi_ofi,passive,250,10.0,329.27064133713213,-2019.7218868333898
