date,model,mode,latency_ms,fee_scenario,maker_fee_bps,taker_fee_bps,gross_pnl,maker_turnover,taker_turnover,maker_fees,taker_fees,total_fees,net_pnl,turnover,net_pnl_bps_of_turnover,fill_rate,maker_fill_count,taker_on_arrival_count,mean_fill_fraction,terminal_position,max_inventory
2024-07-01,lightgbm_extended,passive,0,P0,0.0,0.0,-3630.264330080594,4866605.998529214,0.0,0.0,0.0,0.0,-3630.264330080594,4866605.998529209,-7.459540244634015,0.030930857561690693,9501,0,0.023682415223913997,11.957668360736466,11.957668360736466
2024-07-01,lightgbm_extended,passive,0,P1,-0.5,0.5,-3630.264330080594,4866605.998529214,0.0,-243.33029992646073,0.0,-243.33029992646073,-3386.9340301541333,4866605.998529209,-6.959540244634015,0.030930857561690693,9501,0,0.023682415223913997,11.957668360736466,11.957668360736466
2024-07-01,lightgbm_extended,passive,0,P2,0.0,0.5,-3630.264330080594,4866605.998529214,0.0,0.0,0.0,0.0,-3630.264330080594,4866605.998529209,-7.459540244634015,0.030930857561690693,9501,0,0.023682415223913997,11.957668360736466,11.957668360736466
2024-07-01,lightgbm_extended,passive,0,P3,0.0,1.0,-3630.264330080594,4866605.998529214,0.0,0.0,0.0,0.0,-3630.264330080594,4866605.998529209,-7.459540244634015,0.030930857561690693,9501,0,0.023682415223913997,11.957668360736466,11.957668360736466
2024-07-01,lightgbm_extended,passive,0,P4,0.25,1.0,-3630.264330080594,4866605.998529214,0.0,121.66514996323036,0.0,121.66514996323036,-3751.9294800438242,4866605.998529209,-7.709540244634015,0.030930857561690693,9501,0,0.023682415223913997,11.957668360736466,11.957668360736466
2024-07-01,lightgbm_extended,passive,0,P5,0.5,2.0,-3630.264330080594,4866605.998529214,0.0,243.33029992646073,0.0,243.33029992646073,-3873.5946300070545,4866605.998529209,-7.959540244634016,0.030930857561690693,9501,0,0.023682415223913997,11.957668360736466,11.957668360736466
2024-07-01,lightgbm_extended,passive,0,P6,1.0,5.0,-3630.264330080594,4866605.998529214,0.0,486.66059985292145,0.0,486.66059985292145,-4116.924929933515,4866605.998529209,-8.459540244634015,0.030930857561690693,9501,0,0.023682415223913997,11.957668360736466,11.957668360736466
2024-07-01,lightgbm_extended,passive,10,P0,0.0,0.0,-3344.955215478898,4843839.201458196,0.0,0.0,0.0,0.0,-3344.955215478898,4843839.201458199,-6.905586821445118,0.030735401905692645,9534,0,0.023571167728521133,11.385441983179174,11.495394290155339
2024-07-01,lightgbm_extended,passive,10,P1,-0.5,0.5,-3344.955215478898,4843839.201458196,0.0,-242.1919600729098,0.0,-242.1919600729098,-3102.7632554059883,4843839.201458199,-6.405586821445119,0.030735401905692645,9534,0,0.023571167728521133,11.385441983179174,11.495394290155339
2024-07-01,lightgbm_extended,passive,10,P2,0.0,0.5,-3344.955215478898,4843839.201458196,0.0,0.0,0.0,0.0,-3344.955215478898,4843839.201458199,-6.905586821445118,0.030735401905692645,9534,0,0.023571167728521133,11.385441983179174,11.495394290155339
2024-07-01,lightgbm_extended,passive,10,P3,0.0,1.0,-3344.955215478898,4843839.201458196,0.0,0.0,0.0,0.0,-3344.955215478898,4843839.201458199,-6.905586821445118,0.030735401905692645,9534,0,0.023571167728521133,11.385441983179174,11.495394290155339
2024-07-01,lightgbm_extended,passive,10,P4,0.25,1.0,-3344.955215478898,4843839.201458196,0.0,121.0959800364549,0.0,121.0959800364549,-3466.051195515353,4843839.201458199,-7.155586821445117,0.030735401905692645,9534,0,0.023571167728521133,11.385441983179174,11.495394290155339
2024-07-01,lightgbm_extended,passive,10,P5,0.5,2.0,-3344.955215478898,4843839.201458196,0.0,242.1919600729098,0.0,242.1919600729098,-3587.147175551808,4843839.201458199,-7.405586821445117,0.030735401905692645,9534,0,0.023571167728521133,11.385441983179174,11.495394290155339
2024-07-01,lightgbm_extended,passive,10,P6,1.0,5.0,-3344.955215478898,4843839.201458196,0.0,484.3839201458196,0.0,484.3839201458196,-3829.3391356247175,4843839.201458199,-7.905586821445117,0.030735401905692645,9534,0,0.023571167728521133,11.385441983179174,11.495394290155339
2024-07-01,lightgbm_extended,passive,100,P0,0.0,0.0,-2571.828693028423,5174181.762984535,1060003.8562377119,0.0,0.0,0.0,-2571.828693028423,6234185.619222174,-4.125364322003143,0.03801612509161984,10798,113,0.03036492513370315,7.732312207016806,7.821530552968911
