date,model,mode,latency_ms,gross_pnl,turnover,breakeven_fee_status,breakeven_fee_bps,fee_grid_interpolated_breakeven_bps,maker_turnover,taker_turnover,fee_scenario,maker_fee_bps,taker_fee_bps,breakeven_relationship,breakeven_maker_fee_bps_at_fixed_taker,breakeven_taker_fee_bps_at_fixed_maker,maker_breakeven_requires_rebate,taker_breakeven_requires_rebate
2024-07-01,lightgbm_extended,passive,100,-2571.828693028423,6234185.619222174,,,,5174181.762984535,1060003.8562377119,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.970503184536291,-24.262446574078083,True,True
2024-07-01,lightgbm_extended,passive,100,-2571.828693028423,6234185.619222174,,,,5174181.762984535,1060003.8562377119,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.072935211936337,-21.821803678046866,True,True
2024-07-01,lightgbm_extended,passive,100,-2571.828693028423,6234185.619222174,,,,5174181.762984535,1060003.8562377119,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.072935211936337,-24.262446574078083,True,True
2024-07-01,lightgbm_extended,passive,100,-2571.828693028423,6234185.619222174,,,,5174181.762984535,1060003.8562377119,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.175367239336386,-24.262446574078083,True,True
2024-07-01,lightgbm_extended,passive,100,-2571.828693028423,6234185.619222174,,,,5174181.762984535,1060003.8562377119,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.175367239336386,-25.48276802209369,True,True
2024-07-01,lightgbm_extended,passive,100,-2571.828693028423,6234185.619222174,,,,5174181.762984535,1060003.8562377119,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.38023129413648,-26.703089470109305,True,True
2024-07-01,lightgbm_extended,passive,100,-2571.828693028423,6234185.619222174,,,,5174181.762984535,1060003.8562377119,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.994823458536763,-29.143732366140522,True,True
2024-07-01,lightgbm_extended,passive,250,-3440.298609503545,7746246.646231247,,,,4776250.085461404,2969996.560769912,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-7.202928129696539,-11.583510415283838,True,True
2024-07-01,lightgbm_extended,passive,250,-3440.298609503545,7746246.646231247,,,,4776250.085461404,2969996.560769912,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-7.513841137561265,-10.77942697819338,True,True
2024-07-01,lightgbm_extended,passive,250,-3440.298609503545,7746246.646231247,,,,4776250.085461404,2969996.560769912,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-7.513841137561265,-11.583510415283838,True,True
2024-07-01,lightgbm_extended,passive,250,-3440.298609503545,7746246.646231247,,,,4776250.085461404,2969996.560769912,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-7.824754145425991,-11.583510415283838,True,True
2024-07-01,lightgbm_extended,passive,250,-3440.298609503545,7746246.646231247,,,,4776250.085461404,2969996.560769912,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-7.824754145425991,-11.985552133829064,True,True
2024-07-01,lightgbm_extended,passive,250,-3440.298609503545,7746246.646231247,,,,4776250.085461404,2969996.560769912,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-8.44658016115544,-12.387593852374293,True,True
2024-07-01,lightgbm_extended,passive,250,-3440.298609503545,7746246.646231247,,,,4776250.085461404,2969996.560769912,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-10.31205820834379,-13.191677289464748,True,True
2024-07-01,lightgbm_extended,passive,50,-3349.823029478779,4823367.688042334,,,,4823367.6880423315,0.0,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-6.9449879132859085,,True,False
2024-07-01,lightgbm_extended,passive,50,-3349.823029478779,4823367.688042334,,,,4823367.6880423315,0.0,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-6.9449879132859085,,True,False
2024-07-01,lightgbm_extended,passive,50,-3349.823029478779,4823367.688042334,,,,4823367.6880423315,0.0,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-6.9449879132859085,,True,False
2024-07-01,lightgbm_extended,passive,50,-3349.823029478779,4823367.688042334,,,,4823367.6880423315,0.0,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-6.9449879132859085,,True,False
2024-07-01,lightgbm_extended,passive,50,-3349.823029478779,4823367.688042334,,,,4823367.6880423315,0.0,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-6.9449879132859085,,True,False
2024-07-01,lightgbm_extended,passive,50,-3349.823029478779,4823367.688042334,,,,4823367.6880423315,0.0,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-6.9449879132859085,,True,False
2024-07-01,lightgbm_extended,passive,50,-3349.823029478779,4823367.688042334,,,,4823367.6880423315,0.0,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-6.9449879132859085,,True,False
2024-07-01,lightgbm_qi_ofi,passive,0,-3080.5074360552244,6125189.791964068,,,,6125189.791964119,0.0,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.029244057215443,,True,False
