date,model,mode,latency_ms,parent_orders,fill_count,filled_parent_orders,fill_rate,mean_fill_fraction,turnover,turnover_per_parent_order,turnover_per_active_signal_transition,gross_pnl,gross_pnl_bps_of_turnover,net_pnl_zero_fee,realized_pnl,terminal_unrealized_pnl,terminal_position,terminal_mark_mid,max_inventory,intraday_max_drawdown,maker_turnover,taker_turnover,maker_fill_count,taker_fill_count,taker_on_arrival_count,mean_implementation_shortfall,average_signed_spread_vs_decision_mid,average_signed_spread_vs_arrival_mid,average_signed_markout_100ms,active_signal_transition_count,active_signal_row_count,zero_fee_ledger_sha256,pnl_loss_vs_0ms,pnl_loss_pct_vs_0ms
2024-07-01,lightgbm_extended,market,0,20465,27069,20465,1.0,,206518401.8921641,10091.297429375232,10091.297429375232,5720.895120207824,0.27701624009249565,5720.895120207824,5716.878252395109,4.016867813528558,-0.6942487613772562,62899.995,1.3794587327395869,484.5488179996755,0.0,206518401.89216343,0,27069,0,5.607924162474779e-06,5.607924162474779e-06,5.607924162474779e-06,-1.1470008889870075e-06,20465,18194,53de299d4ba993947f0223cced2a0c2cccac50b0bda2c2c66bab04390684b91a,0.0,0.0
2024-07-01,lightgbm_extended,market,10,20465,27069,20465,1.0,,206518401.8921641,10091.297429375232,10091.297429375232,5720.895120207824,0.27701624009249565,5720.895120207824,5716.878252395109,4.016867813528558,-0.6942487613772562,62899.995,1.3794587327395869,484.5488179996755,0.0,206518401.89216343,0,27069,0,5.607924162474779e-06,5.607924162474779e-06,5.607924162474779e-06,2.0393727946982903e-06,20465,18194,d55e9797a299d97d2f56435964449bcbee8554d657f7b632e52a3cf498add115,0.0,0.0
2024-07-01,lightgbm_extended,market,100,20465,26748,20465,1.0,,206446116.54784513,10087.765284527004,10087.765284527004,5264.311049242642,0.2549968552216678,5264.311049242642,5265.172457282935,-0.861408039753997,0.377227744490664,62899.995,1.122375204048606,380.6604883303735,0.0,206446116.54784513,0,26748,0,9.781072581593323e-06,9.781072581593323e-06,5.3831096682785875e-06,-1.4886084743443497e-06,20465,18194,3056c6fe26482983e627fa8da37753071bec3249efec9b4340efdac8340c384e,456.58407096518204,0.079809900613699
2024-07-01,lightgbm_extended,market,250,20465,26174,20465,1.0,,206540804.06439528,10092.392087192537,10092.392087192537,4327.789911211177,0.209536799801644,4327.789911211177,4330.677206162307,-2.8872949508737515,0.700207148772996,62899.995,0.9060386668918363,309.66362610436045,0.0,206540804.06439424,0,26174,0,1.0928450415291015e-05,1.0928450415291015e-05,5.03260037284411e-06,6.654961626257777e-08,20465,18194,ffd9cabc60672bc24a8badd184b99f0e67f2e2920ecd3002b4edb8b1a8f87494,1393.105208996647,0.2435117546685665
2024-07-01,lightgbm_extended,market,50,20465,27069,20465,1.0,,206518401.8921641,10091.297429375232,10091.297429375232,5720.895120207824,0.27701624009249565,5720.895120207824,5716.878252395109,4.016867813528558,-0.6942487613772562,62899.995,1.3794587327395869,484.5488179996755,0.0,206518401.89216343,0,27069,0,5.607924162474779e-06,5.607924162474779e-06,5.607924162474779e-06,2.0393727946982903e-06,20465,18194,b299627aa3f1c6b6b945d3e159cfbd6d29155aed467604f544ccb4727e5910b4,0.0,0.0
2024-07-01,lightgbm_qi_ofi,market,0,21789,28164,21789,1.0,,219850080.70557386,10089.95735029482,10089.95735029482,5550.258410920898,0.2524565100503137,5550.258410920898,5544.346333716735,5.912077204784866,-0.725700247928128,62899.995,1.329395406760148,495.90876779100654,0.0,219850080.70557332,0,28164,0,5.1850238244400755e-06,5.1850238244400755e-06,5.1850238244400755e-06,-1.1746693451358321e-06,21789,18239,94b87ed70ef85e6c1a01eb38ffc586db12da5d170a93ab7f5562ae1bab33b394,0.0,0.0
2024-07-01,lightgbm_qi_ofi,market,10,21789,28164,21789,1.0,,219850080.70557386,10089.95735029482,10089.95735029482,5550.258410920898,0.2524565100503137,5550.258410920898,5544.346333716735,5.912077204784866,-0.725700247928128,62899.995,1.329395406760148,495.90876779100654,0.0,219850080.70557332,0,28164,0,5.1850238244400755e-06,5.1850238244400755e-06,5.1850238244400755e-06,1.8962680389300604e-06,21789,18239,9b3cdb8d96783fbdaccfc8eb90c33085a5e338d8cdb55e85c50d5ecbbc42c2d4,0.0,0.0
2024-07-01,lightgbm_qi_ofi,market,100,21789,27845,21789,1.0,,219792552.9203605,10087.317128843017,10087.317128843017,5323.436535794204,0.24220277097937412,5323.436535794204,5324.145332422236,-0.7087966283417695,0.27474928740704657,62899.995,1.0910820224602424,302.4422548948605,0.0,219792552.92036092,0,27845,0,8.28691755766168e-06,8.28691755766168e-06,5.0173721757866505e-06,-1.232820901249429e-06,21789,18239,0c5a04810ef89f0cd49657de8cce7a673618827639161be46b801303038d2895,226.82187512669407,0.040866903544597266
2024-07-01,lightgbm_qi_ofi,market,250,21789,27424,21789,1.0,,219860458.7067164,10090.43364572566,10090.43364572566,4432.70561762869,0.2016144987463031,4432.70561762869,4435.361997766155,-2.656380137142815,0.5191446299995548,62899.995,0.8257504108219073,210.9227934996834,0.0,219860458.70671564,0,27424,0,1.0155101944392637e-05,1.0155101944392637e-05,4.930252597057555e-06,3.803960823720541e-08,21789,18239,0925bae42099671c89c59b9a80d6d40856584e5304da4bc920f8d91a8705ac7c,1117.5527932922087,0.20135148862497457
2024-07-01,lightgbm_qi_ofi,market,50,21789,28164,21789,1.0,,219850080.70557386,10089.95735029482,10089.95735029482,5550.258410920898,0.2524565100503137,5550.258410920898,5544.346333716735,5.912077204784866,-0.725700247928128,62899.995,1.329395406760148,495.90876779100654,0.0,219850080.70557332,0,28164,0,5.1850238244400755e-06,5.1850238244400755e-06,5.1850238244400755e-06,1.8962680389300604e-06,21789,18239,fccb1a09050d59d808b0b017be9db725377cb77fb19bd278e2996ec398d447c1,0.0,0.0
